DISTRICT,UPAJILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Manikganj,Manikganj Sadar,139226,UNIQUE INTERNATIONAL SCHOOL,PASCHIM BANDUTIA,MANIKGANJ,1727177473,PRIVATE,No
Manikganj,Saturia,111004,BALIATI ISWAR CHANDRA HIGH SCHOOL,BALIATI,BALIATI,1717553870,PRIVATE,Yes
Manikganj,Saturia,111005,SATURIA ADARSHA PILOT GOVT. HIGH SCHOOL,SATURIA,SATURIA,1933317334,PUBLIC,Yes
Manikganj,Saturia,111006,DHANKORA GIRISH INSTITUTION,DHANKORA,DHANKORA,1716358821,PRIVATE,Yes
Manikganj,Saturia,111007,DHULLA BHUBAN MOHAN HIGH SCHOOL,DHULLA,SATURIA,1309111007,PRIVATE,Yes
Manikganj,Saturia,111008,MOHISHALOHA JABBARIA HIGH SCHOOL,MOHISHALOHA,GANGUTIA,1712484329,PRIVATE,Yes
Manikganj,Saturia,111009,DARAGRAM M. L. HIGH SCHOOL,3,DARAGRAM,1726127668,PRIVATE,Yes
Manikganj,Saturia,111010,TILLI HIGH SCHOOL,TILLI,TILLI,1791743881,PRIVATE,Yes
Manikganj,Saturia,111011,FAIZUN NESA HIGH SCHOOL,BARAID,BARAID,1712438342,PRIVATE,Yes
Manikganj,Saturia,111012,HARGONJ SHAHID SMRITI HIGH SCHOOL,HARGOJ,HARGOJ,1712734041,PRIVATE,Yes
Manikganj,Saturia,111013,JANNA  ADARSHA HIGH SCHOOL,JANNA,JANNA,1309111013,PRIVATE,No
Manikganj,Saturia,111014,SATURA PILOT GIRL'S HIGH SCHOOL,KOWNNARA,SATURIA,1711158851,PRIVATE,Yes
Manikganj,Saturia,111015,ABDUR RAHMAN KHAN HIGH SCHOOL,PATILLAPARA,AG-SAVER,1715996689,PRIVATE,Yes
Manikganj,Saturia,111016,KAITTA GIRLS HIGH SCHOOL,KAITTA,KAITTA,1920719040,PRIVATE,Yes
Manikganj,Saturia,111017,CHARTILLI ADARSHA HIGH SCHOOL,CHARTILLI,CHARTILLI,1713524513,PRIVATE,Yes
Manikganj,Saturia,111018,FUKURHATI KANDAPARA MAJIBAR RAHMAN HIGH SCHOOL,FUKURHATI KANDAPARA,JANNA,1720125993,PRIVATE,Yes
Manikganj,Saturia,111019,GOPALPUR HIGH SCHOOL,GOPALPUR,GOPALPUR,1720144054,PRIVATE,Yes
Manikganj,Saturia,111020,COLONEL MALEQUE JUNIOR SCHOOL,ANGUTIA,PAKUTIA,1309111020,PRIVATE,No
Manikganj,Saturia,137154,DHIGHALIA GOVT. PRIMARY SCHOOL,DHIGHALIA,DHIGHALIA,1681248921,GOVERNMENT PRIMARY,No
Manikganj,Saturia,138427,SONKA  HIGH SCHOOL,SONKA,SONKA,1309138427,PRIVATE,No
Manikganj,Saturia,138638,RAILLA ABDUL MAZID PHOTO ADARSHA HIGH SCHOOL,RAILLA,JANNA,1715437402,PRIVATE,No
Manikganj,Shibalaya,111029,OXFORD ACADEMY,KRISHNOPUR,TEOTA,1309111029,PRIVATE,Yes
Manikganj,Shibalaya,111031,SHIVALAYA GOVT. HIGH SCHOOL,SHIBALAYA,SHIBALAYA,1714589164,PUBLIC,No
Manikganj,Shibalaya,111032,TEOTA ACADEMY,TEOTA,TEOTA,1309111032,PRIVATE,Yes
Manikganj,Shibalaya,111033,NALI BARARIA KRISHNA CHONDRA HIGH SCHOOL,NALI,NALI,1309111033,PRIVATE,Yes
Manikganj,Shibalaya,111034,BARANGAIL GOPAL CHANDAR HIGH SCHOOL,BARANGAIL,BARANGAIL,1724334962,PRIVATE,Yes
Manikganj,Shibalaya,111035,DHAKAIJORA HAZI KORBAN ALI MEMORIAL INS,DHAKAIJORA,INTAJGANJ,1309111035,PRIVATE,Yes
Manikganj,Shibalaya,111036,UPZILA KENDRIO ABUL GANI HIGH SCHOOL,NIHANDA,TEPRA,1309111036,PRIVATE,Yes
Manikganj,Shibalaya,111037,JAFARGANJ HIGH SCHOOL,JAFARGONJ,JAFARGONJ,1309111037,PRIVATE,Yes
Manikganj,Shibalaya,111038,SHAKRAIL HIGH SCHOOL,SHAKRAIL,SHAKRAIL,1720153875,PRIVATE,Yes
Manikganj,Shibalaya,111039,NAYABARI HIGH SCHOOL,NAYABARI,NAYABARI,1309111039,PRIVATE,Yes
Manikganj,Shibalaya,111040,UTALI PILOT GIRLS HIGH SCHOOL,UTHALI ,UTHALI,1309111040,PRIVATE,Yes
Manikganj,Shibalaya,111041,RUPSHA WAHED ALI HIGH SCHOOL,RUPSHA,RUPSHA,1309111041,PRIVATE,Yes
Manikganj,Shibalaya,111042,ARICHA BELAYET HOSSAIN HIGH SCHOOL,SHIBALAYA,SHIBALAYA,1716769795,PRIVATE,Yes
Manikganj,Shibalaya,111043,MOHADEBPUR GIRLS HIGH SCHOOL,MOHADEBPUR,MAHADEBPUR,1309111043,PRIVATE,Yes
Manikganj,Shibalaya,111044,JAMUNABAD HIGH  SCHOOL,JAMUNABAD,SAKRAIL,1309111044,PRIVATE,Yes
Manikganj,Shibalaya,111045,SHAIT GHAR TEOTA HIGH SCHOOL,SHAIT GHAR,TEOTA,1309111045,PRIVATE,Yes
Manikganj,Shibalaya,111046,ABDUL JALIL ACADEMY,ANOWPUR,SHIBALAYA,1723274650,PRIVATE,Yes
Manikganj,Shibalaya,111047,BARADIA JUNIOR HIGH SCHOOL,BARADIA,UTHALI,1309111047,PRIVATE,Yes
Manikganj,Shibalaya,111048,BAJPARA HIGH SCHOOL,BAJPARA,BUTANI,1720337204,PRIVATE,Yes
Manikganj,Shibalaya,133952,MOKSED ALI ACADEMY,14,SAKRAIL,1309133952,PRIVATE,No
Manikganj,Shibalaya,136108,CHOR MADHONAGOR RUSTOM HOWLADER SESDP MODEL HIGH SCHOOL,CHAR MADHYANAGAR,TEOTA,1309136108,PRIVATE,Yes
Manikganj,Shibalaya,137152,FALSHATIA GOVT. PRIMARY SCHOOL,"FALSHATIA,  DHAKA- ARICHA ROAD",BARANGAIL,1713571672,GOVERNMENT PRIMARY,No
