DISTRICT,UPAZILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Joypurhat,Khetlal,121953,ZIAPUR HIGH SCHOOL,ZIAPUR,JAMALGANJ,1715508097,PRIVATE,Yes
Joypurhat,Khetlal,121954,ITAKHOLA HIGH SCHOOL,ITAKHOLA,KHETLAL,1718933122,PRIVATE,Yes
Joypurhat,Khetlal,121955,BANAICH MOMIN HIGH SCHOOL,BANAICH,BANAICH HAT,1715546078,PRIVATE,Yes
Joypurhat,Khetlal,121956,ALAMPUR HIGH SCHOOL,ALAMPUR,KOLGRAM,1720506442,PRIVATE,Yes
Joypurhat,Khetlal,121957,HINDA HIGH SCHOOL,HINDA KASBA,HINDA KASHBA,1795908035,PRIVATE,Yes
Joypurhat,Khetlal,121958,SHISHU NIKETON AND SADAR JUNIOR HIGH SCHOOL KHETLAL ,KHETLAL,KHETLAL,1714098926,PRIVATE,No
Joypurhat,Khetlal,121959,POULUNJA  HIGH SCHOOL,POULUNJA,SHIBPUR,1745914128,PRIVATE,Yes
Joypurhat,Khetlal,121960,BARATARA HIGH SCHOOL,BARATARA,UTTAR HAT SHOHAR,1725446375,PRIVATE,Yes
Joypurhat,Khetlal,121961,NAWTIKA KESHURTA ADARSHO GIRLS HIGH SCHOOL.,NAWTIKA,UTTAR HAT SHAHAR,1715818918,PRIVATE,Yes
Joypurhat,Khetlal,121962,BENAI JASIMUDDIN MEMO BIDDYANIKETON,BENAI,BANAICHHAT,1765756562,PRIVATE,Yes
Joypurhat,Khetlal,121963,ATI DASHRA MODEL  GIRLS HIGH SCHOOL,DASHRA,KHETLAL,1752065007,PRIVATE,No
Joypurhat,Khetlal,121964,BORAIL JUNIOR GIRLS HIGH SCHOOL,BORAIL,HINDA KASBA,1843946447,PRIVATE,No
Joypurhat,Panchbibi,121982,PEARA  CHHATINALI  HIGH SCHOOL,CHHATINALI,CHHATINALI,1309121982,PRIVATE,Yes
Joypurhat,Panchbibi,121983,PANCHBIBI L B PILOT GOVT HIGH SCHOOL,PANCHBIBI 335,PANCHBIBI,1715652266,PUBLIC,No
Joypurhat,Panchbibi,121984,PANCHBIBI N.M.GOVT.GIRLS HIGH SCHOOL,DAMDAMA,PANCHBIBI,1309121984,PUBLIC,No
Joypurhat,Panchbibi,121985,MOHIPUR MAULANA BHASANI HIGH SCHOOL,MOHIPUR,BIRNAGAR,1716852026,PRIVATE,Yes
Joypurhat,Panchbibi,121986,NIKARDIGHI NANDULA HIGH SCHOOL,NIKARDIGHI,NIKARDIGHI,1737484610,PRIVATE,Yes
Joypurhat,Panchbibi,121988,DHARANJEE KUTUBIA HIGH SCHOOL,DHARANJEE,DHARANJI,1309121988,PRIVATE,Yes
Joypurhat,Panchbibi,121989,UCHAI JERKA S.C HIGH SCHOOL,UCHAI,ATAPUR,1718934072,PRIVATE,Yes
Joypurhat,Panchbibi,121990,SHAILOTTI   RAIGRAM HIGH SCHOOL,RAIGRAM,CHHATINALI,1718658011,PRIVATE,Yes
Joypurhat,Panchbibi,121991,HAKIMPUR KAIJURI B N R HIGH SCHOOL,HAKIMPUR,KUSUMBA,1721565052,PRIVATE,Yes
Joypurhat,Panchbibi,121992,AYMA RASULPUR H M HIGH SCHOOL,KHAS BATTA,BISHNUPUR,1714752090,PRIVATE,Yes
Joypurhat,Panchbibi,121993,KOTWALIBAG HIGH SCHOOL,KOTOWALIBAG,KOTOWALIBAG,1726841664,PRIVATE,Yes
Joypurhat,Panchbibi,121994,BIRNAGOR HIGH SCHOOL,BIRNAGOR,BIRNAGAR,1720377540,PRIVATE,Yes
Joypurhat,Panchbibi,121995,BAROKANDRY HIGH SCHOOL,BAROKANDRI,SARAIL,1719418858,PRIVATE,Yes
Joypurhat,Panchbibi,121996,RAMBHADRA PUR HIGH SCHOOL,RAMBHADRA PUR,BAGJANA,1915981350,PRIVATE,Yes
Joypurhat,Panchbibi,121997,BAGZANA BILATERAL HIGH SCHOOL,BAGZANA BILATERAL HIGH SCHOOL,BAGZANA,1993774242,PRIVATE,Yes
Joypurhat,Panchbibi,121998,SONAPUR HIGH SCHOOL,SONAPUR,SONAPUR,1720968159,PRIVATE,Yes
