District,Upazila,Eiin,Name,Address,Post Office,Mobile,Management,Mpo
Munshiganj,Gajaria,111086,BAGHAIA KANDI KALIM ULLAH HIGH SCHOOL,BAGHAIA KANDI,RASULPUR,1722123854,PRIVATE,Yes
Munshiganj,Gajaria,135632,SHAHID MUKTIJUDDA NAZRUL ISLAM HIGH SCHOOL,CHAR BAUSHIA FARAZI KANDI,BAUSHIA,1709901475,PRIVATE,No
Munshiganj,Gajaria,134829,ISMANIRCHAR JUNIOR HIGH SCHOOL,ISMANIR CHAR,ISMANIR CHAR,1826061431,PRIVATE,No
Munshiganj,Gajaria,111101,PORACHAK BAUSIA HIGH SCHOOL,PORACHAK BAUSIA,BAUSIA,1716160755,PRIVATE,Yes
Munshiganj,Gajaria,111100,BASUR CHAR PANCHGAON HIGH SCHOOL,BASUR CHAR,GUAGACHIA,1816104682,PRIVATE,Yes
Munshiganj,Gajaria,111099,TENGARCHAR RAZIA QUADER ADARSHA HIGH SCHOOL,TENGARCHAR,TENGARCHAR,1309111099,PRIVATE,Yes
Munshiganj,Gajaria,111097,HAZI KERAMOT ALI HIGH SCHOOL,BAIDDERGOAN,UTTAR SHAHPUR,1714788302,PRIVATE,Yes
Munshiganj,Gajaria,111096,BHABER CHAR GIRLS SCHOOL,BHABER CHAR,BHABERCHAR,1816139853,PRIVATE,Yes
Munshiganj,Gajaria,111095,GAZARIA PILOT GIRLS HIGH SCHOOL,GOSAIR CHAR,GAZARIA,1309111095,PRIVATE,Yes
Munshiganj,Gajaria,111093,GAZARIA PILOT HIGH SCHOOL,GAZARIA,GAZARIA,1818272008,PUBLIC,Yes
Munshiganj,Gajaria,111092,BHABERCHAR WAZIR ALI M HIGH SCHOOL,BHABER CHAR,BHABER CHAR,1309111092,PRIVATE,Yes
Munshiganj,Gajaria,111091,HOSSAINDI M.L. HIGH SCHOOL,HOSSAINDI,HOSSAINDI,1819038852,PRIVATE,Yes
Munshiganj,Gajaria,111090,GUAGACHIA UNION HIGH SCHOOL,SHIMULIA,GUAGACHIA,1849861418,PRIVATE,Yes
Munshiganj,Gajaria,111089,OSDER ACADEMY,KARIM KHAN,RASULPUR,1309111089,PRIVATE,No
Munshiganj,Gajaria,111088,ROYPARA HIGH SCHOOL,BORO ROYPAR,B.K.ROYPARA,1819138495,PRIVATE,Yes
Munshiganj,Gajaria,111087,BHATERCHAR D.A. MANNAN PILOT HIGH SCHOOL,BHATERCHAR,MADHYA BHATER CHAR,1309111087,PRIVATE,Yes
Munshiganj,Gajaria,111094,BAUSIA M.A. AZHER HIGH SCHOOL,PURAN BAUSIA,PURAN BAUSIA,1718832964,PRIVATE,Yes
Munshiganj,Louhajanj,111118,NOWPARA HIGH SCHOOL,NOWPARA,NOWPARA BAZAR,1821889585,PRIVATE,Yes
Munshiganj,Louhajanj,111117,JASHALDIA HIGH SCHOOL,JASHALDIA,JASHALDIA,1309111117,PRIVATE,Yes
Munshiganj,Louhajanj,111116,HALDIA GOVT. HIGH SCHOOL,SOUTH HALDIA,HALDIA,1711041026,PUBLIC,Yes
Munshiganj,Louhajanj,111114,LOUHAJONG  GIRLS  PILOT  HIGH  SCHOOL,BEJGAON,LOUHAGONG,1742964954,PRIVATE,Yes
Munshiganj,Louhajanj,111113,LOHAJONG PILOT HIGH SCHOOL,HATVOGHDIA,BHOGDIA,1309111113,PRIVATE,Yes
Munshiganj,Louhajanj,111112,BARHMANGAON MULTILTERAL HIGH SCHOOL,PAIKARA,Jhawtiya,1309111112,PRIVATE,Yes
Munshiganj,Louhajanj,111111,MEDINIMONDAL ANWAR CHOWDHURY HIGH SCHOOL,UTTAR MEDINI MONDAL,MEDI NI MONDAL,1715344913,PRIVATE,Yes
Munshiganj,Louhajanj,111110,HARIDIA HIGH SCHOOL,HARIDIA,HARIDIA,1715996071,PRIVATE,Yes
Munshiganj,Louhajanj,111109,KAZIR PAGLA A.T INSTITUTION,KAZIR PAGLA,KAZIR PAGLA,1309111109,PRIVATE,Yes
Munshiganj,Louhajanj,111119,PAISHA HIGH SCHOOL,PAISHA,KHIDIRPARA,1309111119,PRIVATE,Yes
Munshiganj,Louhajanj,111120,KHIDIR PARA HIGH SCHOOL,KHIDIRPARA,KHIDIRPARA,1309111120,PRIVATE,Yes
Munshiganj,Sirajdikhan,137103,MOLLA KHANDI GOVT. PRIMARY SCHOOL,MOLLA KHANDI,KHASMAHALBALUCHAR,1817090918,GOVERNMENT PRIMARY,No
Munshiganj,Sirajdikhan,138885,YOUNUS ACADEMIC  SCHOOL,KHAS MAHAL BALUR CHAR,KHAS MAHAL BALUR CHAR,1912143755,PRIVATE,No
Munshiganj,Sirajdikhan,130852,KAZISAL HAZIGOAN HUMAYOUN MOLLA JR. HIGH SCHOOL,KAZISHAL,NIMTOLA,1309130852,PRIVATE,Yes
Munshiganj,Sirajdikhan,111202,MALKHANAGAR  HIGH  SCHOOL,MALKHANAGAR,MALKAHNAGAR,1712689387,PRIVATE,Yes
Munshiganj,Sirajdikhan,111189,ALHAZ MD GAIZUDDIN HIGH SCHOOL,KHASHKANDI,PACHIMDI,1739287852,PRIVATE,Yes
Munshiganj,Sirajdikhan,111188,KHASKANDI  HIGH SCHOOL,KHASKANDI,PACHIMDI,1815475080,PRIVATE,Yes
Munshiganj,Sirajdikhan,111187,HAJI  ABUBAKAR  SIDDIQUE  ADARSHA HIGH SCHOOL,"KALINAGAR,BISHAW ROAD",KHASHMAHAL  BALU CHAR,1716251226,PRIVATE,Yes
Munshiganj,Sirajdikhan,111186,BAIRAGADI UNION HIGH SCHOOL,BAIRAGADI,BORO PAWLDIA,1717574645,PRIVATE,Yes
Munshiganj,Sirajdikhan,111185,KUSUMPUR HIGH SCHOOL,KUSUMPUR,KUSUMPUR,1309111185,PRIVATE,Yes
Munshiganj,Sirajdikhan,111184,LATABDI MADOMIK SCHOOL,LATABDI,LATABDI,1309111184,PRIVATE,Yes
Munshiganj,Sirajdikhan,111182,SERAJDIKHAN HIGH SCHOOL,SERAJDILHAN,SERAJDIKHAN,1726552390,PRIVATE,Yes
Munshiganj,Sirajdikhan,111181,MALPADIA HIGH SCHOOL,MALAPDIA,MALAPDIA,1718636004,PRIVATE,Yes
Munshiganj,Sirajdikhan,111180,RAJDIA ABDUL JABBER PILOT GIRLS HIGH SCHOOL,RAJDIA,RAJDIA,1309111180,PRIVATE,Yes
Munshiganj,Sirajdikhan,111179,SOLEPORE  HIGH  SCHOOL,Shulpur High School Road,SHIKARPUR  NIMTOLA,1733360370,PRIVATE,Yes
Munshiganj,Sirajdikhan,111178,SHEKHAR NAGAR GIRLS HIGH SCHOOL,SHEKHAR NAGAR,SHEKHAR NAGAR,1309111178,PRIVATE,Yes
Munshiganj,Sirajdikhan,111177,BASAIL HIGH SCHOOL,BASAIL,TOL BASAIL,1915347701,PRIVATE,Yes
Munshiganj,Sirajdikhan,111176,CHHATIANTALI HIGH SCHOOL,CHHATIANTALI,KOLA,1309111176,PRIVATE,Yes
Munshiganj,Sirajdikhan,111174,RAJANAGAR SYEDPUR UNION HIGH SCHOOL,RAJANAGAR,RAJANAGAR,1309111174,PRIVATE,Yes
Munshiganj,Sirajdikhan,111173,RASUNIA  HIGH SCHOOL,RASUNIA,RASUNIA,1714530334,PRIVATE,Yes
Munshiganj,Sirajdikhan,111172,RAJDIA ABHOY PILOT HIGH SCHOOL,RAJDIA,RAJDIA,1714612450,PRIVATE,Yes
Munshiganj,Sirajdikhan,111171,GOVT. ICHHAPUR MODEL HIGH SCHOOL,ICHHAPURA,ICHHAPUR,1309111171,PUBLIC,Yes
Munshiganj,Sirajdikhan,111170,KHARSHUR HIGH SCHOOL,KHARSHUR,PAUSAR,1309111170,PRIVATE,Yes
Munshiganj,Sirajdikhan,111169,MASTER  ABDUR RAHMAN ACADEMY,MADHYAPARA,MADHYAPARA,1724368678,PRIVATE,Yes
