District,Upazila,Eiin,Name,Address,Post Office,Mobile,Management,Mpo
Narsingdi,Raipura,139382,RAIPURA MODEL SCHOOL,PALASHTALI,RAYPURA,1771478990,PRIVATE,No
Narsingdi,Raipura,139206,BATKHULA BASET KHANDAKER GIRLS SCHOOL,BATKHULA,CHAR SUBUDDI BAZAR,1728350140,PRIVATE,No
Narsingdi,Raipura,139079,A K M FAKRUL ALAM ARMAN SCHOOL,ADIABAD,ADIABAD,1726360820,PRIVATE,No
Narsingdi,Raipura,138936,GOKULNAGAR ABEDA FAZLU PUBLIC SCHOOL,GOKULNAGAR,NARAYANPUR,1716313013,PRIVATE,No
Narsingdi,Raipura,138928,NEW MODEL SCHOOL,UTTAR MIRZANAGAR,UTTAR MIRZANAGAR,1719645476,PRIVATE,No
Narsingdi,Raipura,138926,PRITY NESSA IDEAL SCHOOL,ALGI,ALGI BAZAR,1816390760,PRIVATE,No
Narsingdi,Raipura,138925,BIAM LABORATORY SCHOOL,PARISHAD COMPLEX,RAIPURA,1715112623,PRIVATE,No
Narsingdi,Raipura,138799,GANGRIHO ADORSHO JUNIOR SCHOOL,TEKPARA,ROYPURA,1828198819,PRIVATE,No
Narsingdi,Raipura,137325,JAHANGIRNAGAR GOVT. PRIMARY SCHOOL,JAHANGIRNAGAR,TULATULI,1719432696,GOVERNMENT PRIMARY,No
Narsingdi,Raipura,137011,MUKTIZUDDHA TAYEBUDDIN AHMED JUNIOR SCHOOL,ALGI,ALGIBAZAR,1817505614,PRIVATE,No
Narsingdi,Raipura,135615,ZOHRA HASAN  GIRLS HIGH SCHOOL,KHALAPARA,BAZAR HASNABAD,1727770655,PRIVATE,No
Narsingdi,Raipura,134971,EAST BAGHAIKANDI SESDP MODEL HIGH SCHOOL,BAGHAIKANDI,BAGHAIKANDI,1309134971,PRIVATE,Yes
Narsingdi,Raipura,134125,SHAHBAGH ROTARY HIGH SCHOOL,FULDI,MORZAL BAZAR,1713939692,PRIVATE,No
Narsingdi,Raipura,134119,BEGOMABAD WASIL UDDIN MONSHI JUNIOR HIGH SCHOOL,HOGLAKANDI,ALGI BAZAR,1749951252,PRIVATE,Yes
Narsingdi,Raipura,112802,BASHGARI NEW MODEL HIGH SCHOOL,DEGHOLIA KANDI,BASHGARI,1714531137,PRIVATE,Yes
Narsingdi,Raipura,112801,MAHMUDABAD RAZIUDDIN AHAMED RAZU  HIGH SCHOOL,à¦®à¦¾à¦¹à¦®à§à¦¦à¦¾à¦¬à¦¾à¦¦,à¦®à§à¦›à¦¾à¦ªà§à¦°,1741484666,PRIVATE,Yes
Narsingdi,Raipura,112800,BHALUAR CHAR HIGH SCHOOL,BHALUAR CHAR,SAIDABAD,1309112800,PRIVATE,Yes
Narsingdi,Raipura,112799,CHARA BAG IDEAL HIGH SCHOOL,DHUKUDI CHAR,KATAGHAT BAZAR,1818157976,PRIVATE,Yes
Narsingdi,Raipura,112798,SHATADAL GIRLS HIGH SCHOOL,BAHER CHAR BORO KANDA,SREENIDHI,1718082027,PRIVATE,No
Narsingdi,Raipura,112797,B B L  HIGH SCHOOL,BAR CHAR,BAR CHAR,1913479177,PRIVATE,Yes
Narsingdi,Raipura,112796,MIRZAR CHAR HIGH SCHOOL,MIRZAR CHAR,MIRZAR CHAR,1714701719,PRIVATE,Yes
Narsingdi,Raipura,112795,RAMNAGAR HIGH SCHOOL,RAMNAGAR,RAMNAGAR,1309112795,PRIVATE,Yes
Narsingdi,Raipura,112794,AL HAJ BAZLUL HAQUE J  M HIGH SCHOOL,JOYNAGAR,MOHESHPUR,1715789252,PRIVATE,Yes
Narsingdi,Raipura,112793,CHARMODHUA  ADARSHA HIGH SCHOOL,CHARMODHUA,CHARMADHUA,1739185788,PRIVATE,Yes
Narsingdi,Raipura,112792,UTTAR BAKHAR NAGAR UNION HIGH SCHOOL,LOCHANPUR,BAKHAR NAGAR BAZAR,1818851535,PRIVATE,Yes
Narsingdi,Raipura,112791,MARJAL HIGH SCHOOL,MARJAL,MARJAL BAZAR,1309112791,PRIVATE,Yes
Narsingdi,Raipura,112790,SABDAR ALI KHAN HIGH SCHOOL,DORIGAON,NILAKHYA,1720026449,PRIVATE,Yes
Narsingdi,Raipura,112789,DAULATKANDI ADARSHA GIRLS HIGH SCHOOL,DAULATKANDI,SHAPMARA,1740988195,PRIVATE,Yes
Narsingdi,Raipura,112788,KOHINOOR JUTE MILL HIGH SCHOOL,GHAGHUTIA,SAPMARA BAZAR,1818139432,PRIVATE,Yes
Narsingdi,Raipura,112787,BELAYET ALI HIGH SCHOOL,ADIABAD (P.B. NAGAR),DOKARCHAR,1309112787,PRIVATE,Yes
Narsingdi,Raipura,112785,ISLAMPUR M L HIGH SCHOOL,HATUBHANGA,HATUBHANGA BAZAR,1711168860,PRIVATE,Yes
Narsingdi,Raipura,112784,HASNABAD HIGH SCHOOL,HASNABAD,BAZAR HASNABAD,1309112784,PRIVATE,Yes
Narsingdi,Raipura,112783,DAKHIN MIRZA NAGAR  ASMATENNESA GIRLS HIGH SCHOOL,à¦¦à¦•à§à¦·à¦¿à¦¨ à¦®à¦¿à¦°à§à¦œà¦¾à¦¨à¦—à¦°,BAZAR HASNABAD,1813349390,PRIVATE,Yes
Narsingdi,Raipura,112782,NILAKHIA ABUL HASHEM HIGH SCHOOL,NILAKHIA,NILAKHIA,1739738468,PRIVATE,Yes
Narsingdi,Raipura,112781,SAHER CHAR HIGH SCHOOL,SAHER CHAR,SAHER CHAR,1718342529,PRIVATE,Yes
Narsingdi,Raipura,112780,R.M HIGH SCHOOL,RAJ PRASAD,RAJ PRASAD,1818262660,PRIVATE,Yes
Narsingdi,Raipura,112779,SIRAJ NAGAR HIGH SCHOOL,SIRAJ NAGAR,RADAGANJ,1714212280,PRIVATE,Yes
Narsingdi,Raipura,112778,EUNUS MIAH GIRLS HIGH SCHOOL,HAIR MARA,HAIR MARA,1309112778,PRIVATE,Yes
