District,Upazila,Eiin,Name,Address,Post Office,Mobile,Management,Mpo
Jhenaidah,Harinakundu,116391,CHARATALA ADARSHA JUNIOR GIRLS HIGH SCHOOL,PAIRABHANGA,BHALKI BAZAR,1.01711E+018,PRIVATE,No
Jhenaidah,Harinakundu,116392,HARINAKUNDU GOVT.GIRLS HIGH SCHOOL,HARINAKUNDU,HARINAKUNDA,1309116392,PUBLIC,No
Jhenaidah,Harinakundu,116394,JORADAH HIGH SCHOOL,JORADAH,JORADAHA,1714545351,PRIVATE,Yes
Jhenaidah,Harinakundu,116395,BHAHBNIPUR HIGH SCHOOL,BHABANIPUR,SADHUGANJ,1757954135,PRIVATE,Yes
Jhenaidah,Harinakundu,116396,BHALKI HIGH SCHOOL,BHALKI,BHALKI BAZAR,1723144840,PRIVATE,Yes
Jhenaidah,Harinakundu,116397,GHORAGACHHA LAL MOHAMMAD HIGH SCHOOL,GHORAGACHHA,BHALKI BAZAR,1740540135,PRIVATE,Yes
Jhenaidah,Harinakundu,116398,PORAHATI HIGH SCHOOL,PORAHATI,BAZAR PORAHATI,1717409691,PRIVATE,Yes
Jhenaidah,Harinakundu,116399,DARIBINNI   SECONDARY  SCHOOL,DARIBINNI,SABEK BINNI,1924866288,PRIVATE,Yes
Jhenaidah,Harinakundu,116400,K.B. ACADEMY PARDAHALPUR,PARBATIPUR,HARINAKUNDA,1720522630,PRIVATE,Yes
Jhenaidah,Harinakundu,116401,ANDULIA HIGH SCHOOL,ANDULIA,ADARSHA ANDULIA,1919462112,PRIVATE,Yes
Jhenaidah,Harinakundu,116402,RISKHALI HIGH SCHOOL,RISHKHALI,RISHKHALI BAZAR,1818708583,PRIVATE,Yes
Jhenaidah,Harinakundu,116403,BHAINA SHAHID MOSARAF DALIL UDDIN HIGH SCHOOL,BHAINA,JORADAHA,1714849881,PRIVATE,Yes
Jhenaidah,Harinakundu,116404,SONATON PUR SECONDARY SCHOOL,SONATONPUR,RISHKHALI,1728773199,PRIVATE,Yes
Jhenaidah,Harinakundu,116405,TOLA  SECONDARY SCHOOL,NIJ TOLA,Tola,1716446799,PRIVATE,Yes
Jhenaidah,Harinakundu,116406,DURLABPOUR HIGH SCHOOL,DURLAB PUR,KANNADAHA,1719409366,PRIVATE,Yes
Jhenaidah,Harinakundu,116407,SHAKHARIDAH SECONDARY SCHOOL,SHAKHARIDAH,SHAKHARIDAH,1724999679,PRIVATE,Yes
Jhenaidah,Harinakundu,116408,NARAYAN KANDI SECONDARY SCHOOL,NARAYAN KANDI,ADARSHA ANDULIA,1714963737,PRIVATE,Yes
Jhenaidah,Harinakundu,116409,MANDIA SECONDARY SCHOOL,MANDIA,BAZAR PORAHATI,1718924351,PRIVATE,Yes
Jhenaidah,Harinakundu,116410,FALSHI SECOHDARY HIGH SCHOOL,FALSHI,HARINAKUNDA,1918590581,PRIVATE,Yes
Jhenaidah,Harinakundu,116411,LALAN ACADEMY SECONDARY SCHOOL,HORISHPUR,SADHUGANJ,1712412279,PRIVATE,Yes
Jhenaidah,Harinakundu,116412,BACKCHUA LAXHIPUR HIGH SCHOOL,BACKCHUA,JORADAHA,1725771145,PRIVATE,Yes
Jhenaidah,Harinakundu,116413,BHATURIA SECONDARY SCHOOL,BHATURIA,SADHUHATI,1712359175,PRIVATE,Yes
Jhenaidah,Harinakundu,116414,MANDAR TALA ZORAPUKURIA SECONDARY SCHOOL,MANDAR TALA,HARINAKUNDA,1716038462,PRIVATE,Yes
Jhenaidah,Harinakundu,116415,CHARUMONNESA GIRLS SECONDARY SCHOOL,HARISH PUR,ADARSHA ANDULIA,1718120504,PRIVATE,Yes
Jhenaidah,Harinakundu,116416,CHANDPUR HIGH SCHOOL,CHANDPUR,KANNADAHA,1717353272,PRIVATE,Yes
Jhenaidah,Harinakundu,116417,MOKIMPUR SECONDARY SCHOOL,MaKIMPUR,KANNADAHA,1715484111,PRIVATE,Yes
Jhenaidah,Harinakundu,116418,NITTANONDO PUR SECOUNDARY SCHOOL,NITTANONDO PUR,BAZAR PORADAHA,1717933144,PRIVATE,Yes
Jhenaidah,Harinakundu,116419,PAR MATHURAPUR SECONDARY SCHOOL,PAR MATHURAPUR,KANNADAH,1728339188,PRIVATE,Yes
Jhenaidah,Harinakundu,116420,PAKHIMARA SECONDARY SCHOOL,BHAINA PAKHIMARA,JORADAHA,1721847990,PRIVATE,Yes
Jhenaidah,Harinakundu,116421,SHISHUKALI MODEL HIGH SCHOOL,HARINAKUNDA,HARINAKUNDA,1718288991,PRIVATE,Yes
Jhenaidah,Harinakundu,116422,CHARTALA SULTANANESA JUNIOR GIRLS HIGH SCHOOL,PAIRADANGA,BHALKEE BAZAR,1712435980,PRIVATE,No
Jhenaidah,Harinakundu,116423,SREEPUR  HIGH SCHOOL,SREEPUR,ADARSHA ANDULIA,1309116423,PRIVATE,Yes
