"District","Upazila","Eiin","Name","Address","Post Office","Mobile","Management","Mpo"
"Chuadanga","Jiban Nagar","115431","KASHEM ALI  HIGH SCHOOL","KHAYER HUDA","KHAYER HUDA","1712230843","PRIVATE","Yes"
"Chuadanga","Jiban Nagar","115432","ALIPUR SECONDARY SCHOOL","ALIPUR","JIBON NAGAR","1728485824","PRIVATE","Yes"
"Chuadanga","Jiban Nagar","115433","GOYESHPUR SECONDARY SHOOL","GOYESHPUR","DHOPAKHALI","1933158768","PRIVATE","Yes"
"Chuadanga","Jiban Nagar","115434","JIBONNAGAR THANA PILOT GIRL'S HIGH SCHOOL","JIBONNAGAR HASPITAL ROAD","DAULATGANJ","1721506326","PUBLIC","Yes"
"Chuadanga","Jiban Nagar","115435","SHAPLAKALI ADARSHA SECONDARY SCHOOL","DATTANANAGAR","DAULATGANJ","1716032684","PRIVATE","No"
"Chuadanga","Jiban Nagar","115436","HASADAH SECONDARY SCHOOL","HASADAH","HASADAHA","1712390651","PRIVATE","Yes"
"Chuadanga","Jiban Nagar","115437","JIBON NAGAR THANA ML HIGH SCHOOL","JIBANNAGAR","DAULATGANJ","1309115437","PRIVATE","Yes"
"Chuadanga","Jiban Nagar","115438","ANDUL BARIA MULTILATERAL SECONDARY SCHOOL","ANDUL BARIA","ANDUL BARIA","1309115438","PRIVATE","Yes"
"Chuadanga","Jiban Nagar","115439","UTHALI SECONDARY SCHOOL","UTHALI","UTHALI","1309115439","PRIVATE","No"
"Chuadanga","Jiban Nagar","115440","ANDUL BARIA MULTILAATER GIRLS HIGH SCHOOL","ANDULBARIA","ANDULBARIA","1719766594","PRIVATE","Yes"
"Chuadanga","Jiban Nagar","115441","RAIPUR HIGH SCHOOL","RAIPUR","RAIPUR","1309115441","PRIVATE","Yes"
"Chuadanga","Jiban Nagar","115442","MONOHAR PUR SECONDARY SCHOOL","MONOHAR PUR","KHAIRHUDA","1735678480","PRIVATE","Yes"
"Chuadanga","Jiban Nagar","115443","UTHALI SECONDARY GIRLS SCHOOL","UTHALI","UTHALI","1713920909","PRIVATE","Yes"
"Chuadanga","Jiban Nagar","115444","DHOPA KHALI HIGH SCHOOL","DHOPAKALI","DOPHAKHALI","1724268684","PRIVATE","No"
"Chuadanga","Jiban Nagar","115445","KARATOA SECONDARY SCHOOL","KOYA","DAULATGANJ","1718869121","PRIVATE","Yes"
"Chuadanga","Jiban Nagar","115446","B.C.K.M.P SECONDARY  SCHOOL","MADHAB PUR","MADHABPUR","1713928296","PRIVATE","Yes"
"Chuadanga","Jiban Nagar","115447","MINAJPUR SECONDARY SCHOOL","MINAJPUR","HASADAHA","1712971322","PRIVATE","Yes"
"Chuadanga","Jiban Nagar","115448","HASHADAH SECONDARY GIRLS SCHOOL","HASHADAH","HASADAHA","1719571430","PRIVATE","Yes"
"Chuadanga","Jiban Nagar","115449","KASHIPUR SECONDARY SCHOOL","KASHIPUR","ANDULBARIA","1309115449","PRIVATE","Yes"
"Chuadanga","Jiban Nagar","115450","SHAHAPUR HIGH SCHOOL","SHAHAPUR","SHAHAPUR","1721393538","PRIVATE","Yes"
"Chuadanga","Jiban Nagar","115451","PANKA HIGH SCHOOL","PANKA","SHAHAPUR","1727217325","PRIVATE","No"
"Chuadanga","Jiban Nagar","115452","HAJI MONIR HOSSAIN SECONDARY SCHOOL","ALIPUR","JIBAN NAGAR","1710832471","PRIVATE","Yes"
"Chuadanga","Jiban Nagar","115453","SINGNAGAR HIGH SCHOOL","SINGNAGAR","AKANDA BARIA","1716952331","PRIVATE","Yes"
"Chuadanga","Jiban Nagar","137304","31NO. HORIHORNAGAR GOVT. PRIMARY SCHOOL","HARIHORNAGAR","DOULATGANJ","1914519537","GOVERNMENT PRIMARY","No"
