District,Upazila,Eiin,Name,Address,Post Office,Mobile,Management,Mpo
Bhola,Doulat Khan,101442,DAULATKHAN  GOVT GIRLS HIGH SCHOOL,POURO WARD NO 07,DAULATKHAN,1715387057,PUBLIC,No
Bhola,Doulat Khan,101443,DAULATKHAN GOVT. HIGH SCHOOL,DAUKATKHAN UNION,DAULATKHAN,1712626564,PUBLIC,No
Bhola,Doulat Khan,101444,SUKDEB MODAN MOHAN SECONDRY SCHOOL,CHAR KHALIFA,RADHA BHALLAV,1714546214,PRIVATE,Yes
Bhola,Doulat Khan,101445,JOYNAGAR SECONDARY SCHOOL,UTTAR JOYNAGAR,JOYNAGAR,1718488934,PRIVATE,Yes
Bhola,Doulat Khan,101446,CHARPATA SECONDARY SCHOOL,,CHARPATA HIGH  SCHOOL,1739415472,PRIVATE,Yes
Bhola,Doulat Khan,101447,KHARERHAT SECONDARY SCHOOL,PASCHIM JOYNAGAR,KHAYER HAT,1711707857,PRIVATE,Yes
Bhola,Doulat Khan,101448,HAZIPUR HIGH SCHOOL,CHAR BORO LAMSI DHOLI,DAULATKHAN,1727400768,PRIVATE,Yes
Bhola,Doulat Khan,101449,CHARGUMANI SECONDARY SCHOOL,CHARGUMANI,LAMCIPATA,1309101449,PRIVATE,Yes
Bhola,Doulat Khan,101450,CHAR KHALIFA  HIGH SCHOOL,KOLAKOPA,KALAKOPA,1711163498,PRIVATE,Yes
Bhola,Doulat Khan,101451,SYEDPUR JUNIOR HIGH SCHOOL,CHAR CHHOTO LAMSI DHOLI,HAZIPUR MADRASAH,1712194974,PRIVATE,Yes
Bhola,Doulat Khan,101452,AZHAR ALI SECONDARY SCHOOL,DAKSHIN JOYNAGAR,NUR MIAR HAT,1716383734,PRIVATE,Yes
Bhola,Doulat Khan,101453,LUTFOR RAHMAN JUNIOR HIGH SCHOOL,CHAR KHALIFA,RADHA BALLAV,1735266898,PRIVATE,Yes
Bhola,Doulat Khan,101454,BEER SHARESTA MOSTAFA KAMAL JR HIGH SCHOOL,DAULATKHAN POURASOVA,DAULATKHAN,1309101454,PRIVATE,Yes
Bhola,Doulat Khan,101455,KHADIZA KHANAM HIGH SCOOL,CHAR KHALIFA,DIDARULLAH,1712874853,PRIVATE,Yes
Bhola,Doulat Khan,101456,SAKINA ADARSHA ACADEMY,"CHAR BORO LACHIDHOLI, ACADEMY ROAD",DAULATKHAN,1718179290,PRIVATE,Yes
Bhola,Doulat Khan,101457,HASINA NIZAM LAMCHI PATA JUNIOR  SCHOOL,UTTOR CHAR LAMCHI PATA,KAZIRHAT,1712194043,PRIVATE,Yes
Bhola,Doulat Khan,101458,PACHIM JOYNAGOR SECONDARY SCHOOL,PASCHIM JOYNAGOR,KHAIRHAT,1725727684,PRIVATE,Yes
Bhola,Doulat Khan,101459,CHAR SHOVI P HIGH SCHOOL,CHAR SHOVI,HAZIPUR MADRASAH,1728001311,PRIVATE,Yes
Bhola,Doulat Khan,101460,NALGORA SHORIF BARI HIGH SCHOOL,NALGORA,JOY NAGAR,1712061906,PRIVATE,Yes
Bhola,Doulat Khan,101461,MEDUA JUNIOR HIGH SCHOOL,MEDUA,RATAN PUR,1918857423,PRIVATE,No
Bhola,Doulat Khan,101462,JAYNUL ABEDEEN LABORATORY HIGH SCHOOL,UTTOR JAYNAGOR DOULATKHAN ROAD,CHAULTA TALI,1309101462,PRIVATE,Yes
Bhola,Doulat Khan,133701,KHALEDA KHANAM JUNIOR GIRLS SCHOOL,UTTOR JOYNOGOR,LAMCHIPATA,1728889805,PRIVATE,No
Bhola,Doulat Khan,137392,61NO. SUKDEV GOVT. PRIMARY SCHOOL,CHAR SHUBHI,DAULATKHAN,1724995708,GOVERNMENT PRIMARY,No
Bhola,Monpura,101577,MONPURA SECONDARY SCHOOL,KAWARTAK,KAWARTAK,1768176918,PRIVATE,Yes
Bhola,Monpura,101578,SOMEDPUR BANGLA BAZER HIGH SCHOOL,CHAR GOYALIA,MASTER HAT,1717343807,PRIVATE,Yes
Bhola,Monpura,101579,HAZIRHAT GOVT. MODEL SECONDARY SCHOOL,CHOR JOTIN,HAZIRHAT,1309101579,PUBLIC,Yes
Bhola,Monpura,101580,SAKUCHIA SECONDARY SCHOOL,DOKSHIN SAKUCHIA,SAKUCHIA,1309101580,PRIVATE,Yes
Bhola,Monpura,101581,FAIZUDDIN HIGH SCHOOL,CHAR FAIZUDDIN,HAZIRHAT,1309101581,PRIVATE,Yes
Bhola,Monpura,101582,UTTAR SAKUCHIA SECONDARY SCHOOL,UTTAR SHAKUCHIA,MASTER HAT,1716272840,PRIVATE,Yes
Bhola,Monpura,101583,MONPURA ANDIRPAR HIGH SCHOOL,ANDIRPAR,MONPURA,1740549266,PRIVATE,Yes
Bhola,Monpura,101584,MONPURA GIRLS' SECONDARY SCHOOL,CHARJATIN,HAZIR HAT,916523516247,PRIVATE,Yes
Bhola,Monpura,136922,SAKUCHIA JUNIOR GIRLS SCHOOL,RAHMANPUR,SAKUCHIA,1740974393,PRIVATE,No
Bhola,Monpura,137315,DAKKHIN SAKUCIA GOVT. PRIMARY SCHOOL,RAHMANPUR,SAKUCHIA,1714342039,GOVERNMENT PRIMARY,No
Bhola,Monpura,137960,HAZIRHAT MODEL GOVT. PRIMARY SCHOOL,CHAR JATIN,HAZIRHAT,1936386604,GOVERNMENT PRIMARY,No
Bhola,Monpura,138673,CHAR KHALEK JUNIOR HIGH SCHOOL,KHALEK NAGOR,MONPURA,1742210381,PRIVATE,No
