District,Upazila,Eiin,Name,Address,Post Office,Mobile,Management,Mpo
Netrokona,Mohongonj,113117,BARANTAR ADARSHA HIGH SCHOOL,BARANTAR,SHALDHIGA,1715374613,PRIVATE,Yes
Netrokona,Mohongonj,113107,MOHANGANJ  PILOT GOVT.HIGH SCHOOL,TANGAPARA,MOHANGANJ,1718794123,PUBLIC,No
Netrokona,Mohongonj,113108,MOHANGONJ PILOT GIRLS HIGH SCHOOL,DOULOTPUR,MOHANGONJ,172477364,PRIVATE,Yes
Netrokona,Mohongonj,113109,SAMAJ HIGH SCHOOL,JIBONPUR,SAMAJ,1715311978,PRIVATE,Yes
Netrokona,Mohongonj,113110,KHURSHIMUL  HIGH SCHOOL,KHURSHIMUL,KHURSHIMUL,1712352407,PRIVATE,Yes
Netrokona,Mohongonj,113111,"SHAHID SMRITY HIGH SCHOOL,KULPATAK",ADARSHANAGOR,ADARSHANAGOR,1715938601,PRIVATE,Yes
Netrokona,Mohongonj,113112,SHYAMPUR UNION HIGH SCHOOL,SHYAMPUR,SHYAMPUR,1714717166,PRIVATE,Yes
Netrokona,Mohongonj,113113,BARO PAIKURA HIGH SCHOOL,BARA PAIKURA,TATHULIA,1712318120,PRIVATE,Yes
Netrokona,Mohongonj,113114,MAGHAN HIGH SCHOOL,MAGHAN,MAGHAN,1718978180,PRIVATE,Yes
Netrokona,Mohongonj,113115,K.B KABIR UDDIN K. HIGH SCHOOL,SAHILDEO,NAYAPARA,1725349033,PRIVATE,Yes
Netrokona,Mohongonj,113116,MOHANGANJ PUBLIC HIGH SCHOOL,MAILORA,MOHANGONJ,1716929877,PRIVATE,Yes
Netrokona,Mohongonj,137892,GAGLAJUR GOVT. PRIMARY SCHOOL,GAGLAJUR,GAGLAJUR,1922558784,GOVERNMENT PRIMARY,No
Netrokona,Mohongonj,113118,MOHANGONJ ADARSH HIGH SCHOOL,TANGAPARA,MOHANGANJ,1712647905,PRIVATE,Yes
Netrokona,Mohongonj,113119,BIRAMPUR HIGH SCHOOL,BIRAMPUR,MOHANGONJ,1718915220,PRIVATE,Yes
Netrokona,Mohongonj,113120,MOKTI ZUDDHYA SMRITY JR HIGH SCHOOL,KARACHAPUR,KARCHAPUR,1724471130,PRIVATE,Yes
Netrokona,Mohongonj,113121,JAINPUR HIGH SCHOOL,JAINPUR,JAINAPUR,1721571336,PRIVATE,Yes
Netrokona,Mohongonj,113122,NARAICH JUNIOR SCHOOL,NARAICH,KARACHAPUR,1724193469,PRIVATE,Yes
Netrokona,Mohongonj,113123,HACHLA HIGH SCHOOL,HACHLA,LUNESHWAR,1725427842,PRIVATE,Yes
Netrokona,Mohongonj,113124,PALGOAN MODEL HIGH SCHOOL,PALGOAN,PALGAON,1713599560,PRIVATE,Yes
Netrokona,Mohongonj,130683,VATI BANGLA  HIGH SCHOOL,CHANDPUR,GAGLAJURE,1977452938,PRIVATE,Yes
Netrokona,Mohongonj,135676,SUKHDEBPUR BANIAHARI SESDP MODEL HIGH SCHOOL,SUKHDEBPUR,KALUNGKA,1740203353,PRIVATE,Yes
Netrokona,Mohongonj,137362,SUAIR GOVT. PRIMARY SCHOOL,SUAIR,CHHERAKHALI,1733123120,GOVERNMENT PRIMARY,No
