District,Upazila,Eiin,Name,Address,Post Office,Mobile,Management,Mpo
Dhaka,Bangshal,137913,NOBABKATRA GOVT. PRIMARY SCHOOL,67/1 NOBABKATRA,DHAKA SADAR,1914866683,GOVERNMENT PRIMARY,No
Dhaka,Bangshal,137912,SURITOLA MODEL GOVT. PRIMARY SCHOOL,"135, SHAHEED SYED NAZRUL ISLAM SARONI",DHAKA SADAR,1718259798,GOVERNMENT PRIMARY,No
Dhaka,Bangshal,133734,SHAHID PRESIDENT ZIAUR RAHMAN HIGH SCHOOL,"26, PURANA MOGOLTULI",DHAKA-1100,1928384139,PRIVATE,No
Dhaka,Bangshal,108349,RAMNA RAIL WAY HIGH SCHOOL,"135,SYEED NAZRUL ISLAM SARINI",DHAKA SADAR,1766551473,PRIVATE,Yes
Dhaka,Bangshal,108134,BANGSHAL GIRLS HIGH SCHOOL,"212, BANGSHAL ROAD",DHAKA,1711804515,PRIVATE,Yes
Dhaka,Bangshal,108130,"NEW GOVT. GIRLS HIGH SCHOOL, ARMANITOLA, DHAKA",1 NO ABUL KHOYRAT ROAD,DHAKA SADAR,1922552683,PUBLIC,No
Dhaka,Bangshal,108129,ARMENITOLA GOVT. HIGH SCHOOL,1 NUMBER ABUL KHAIRT ROAD,BABU BAZAR,1309108129,PUBLIC,No
Dhaka,Bhasan Tek,137968,VASHANTEK GOVT. PRIMARY SCHOOL,BHASHANTEK,CANTONMENT,1718662097,GOVERNMENT PRIMARY,No
Dhaka,Bhasan Tek,108045,BANGLADESH MUKTIJODDHA UCCHA BIDDALAY,West Bhasantak,DHAKA CANT.,1309108045,PRIVATE,Yes
Dhaka,Bhatara,139032,DHAKA CREDIT UNION SCHOOL,"KA/30/A/2 JOAR SHAHARA, BHATARA, DHAKA-1229",KHILKHET,1716261074,PRIVATE,No
Dhaka,Bhatara,138941,ROSENBERG JUNIOR SCHOOL,"SOLMAID, FERAJITOLA",GULSHAN,1712353505,PRIVATE,No
Dhaka,Bhatara,138643,ASMAT ULLAH IDEAL JUNIOR SCHOOL,"PLOT-1505, WARD- 40, SOLMAID, APOLLO HOSPITAL ROAD",GULSHAN,1711532609,PRIVATE,No
Dhaka,Bhatara,134096,MATRICHAYA PRE CADET AND HIGH SCHOOL,"1140, NURERCHALA",GULSHAN,1979026669,PRIVATE,No
Dhaka,Bhatara,134095,GREEN BIRD PRE-CADET AND HIGH SCHOOL,"1085, KHILBARIRTAKE, BHATARA, DHAKA-1212",GULSHAN,1718833936,PRIVATE,No
Dhaka,Bhatara,108013,SOLMAID HIGH SCHOOL,BHATARA,GULSHAN,1817541533,PRIVATE,Yes
Dhaka,Biman Bandar,136572,BANGAMATA SHEIKH FAZILATUNNESA MUJIB GOVT. SECONDARY SCHOOL,HAZI CAMP ROAD,ASHKONA,1711180301,PUBLIC,No
Dhaka,Chak Bazar,138707,K M BASHIR GOVERNMENT PRIMARY SCHOOL,"27, GOUR SUNDAR ROY LANE",POSTA,1871924812,GOVERNMENT PRIMARY,No
Dhaka,Chak Bazar,137909,RAHMATGONJ GOVT. PRIMARY SCHOOL,34/2 RAHAMATGANJ LANE,POSTA,1712060084,GOVERNMENT PRIMARY,No
Dhaka,Chak Bazar,108142,ISLAMBAGH ASHRAF ALI HIGH SCHOOL,WEST ISLAMBAGH,POSTA,1911390608,PRIVATE,Yes
Dhaka,Chak Bazar,108141,ISLAMIA BOHUMUKHI HIGH SCHOOL,"30 , SWARIGHAT, DHAKA .",POSTA,1712703953,PRIVATE,Yes
Dhaka,Dakshinkhan,138971,LAMPS IDEAL SCHOOL,1,KHILKHET,1712621855,PRIVATE,No
Dhaka,Dakshinkhan,138857,SAMAD MONDAL HIGH SCHOOL,DAKSHINKHAN,DAKSHINKHAN,1993844638,PRIVATE,No
Dhaka,Dakshinkhan,137916,UDAYAN GOVT. PRIMARY SCHOOL,MOLLARTEK,ASHKONA,1534614893,GOVERNMENT PRIMARY,No
Dhaka,Dakshinkhan,137178,DAKSHIN KHAN  GOVT. PRIMARY SCHOOL,DAKSHINKHAN,DAKSHINKHAN,1714515199,GOVERNMENT PRIMARY,No
Dhaka,Dakshinkhan,137086,TALENTS' JUNIOR SCHOOL,141 AZAMPUR,AZAMPUR,1710406972,PRIVATE,No
Dhaka,Dakshinkhan,136720,KAWLAR SALEMUN NESSA SCHOOL,KAWLAR,KHILKHET,1912093801,PRIVATE,No
Dhaka,Dakshinkhan,136110,M R KHAN MODEL HIGH SCHOOL,KOTBARI,FAYDABAD,1757212502,PRIVATE,No
Dhaka,Dakshinkhan,135231,THE CHILD LABORATORY  SCHOOL,FAIDABAD,FAIDABAD MADRASAH,1718369879,PRIVATE,No
Dhaka,Dakshinkhan,134759,MOMOTA COMBIND HIGH SCHOOL,"HOLDING#25,SHOUDAGORPARA,DAKSHINKHAN,DHAKA-1230",DAKSHINKHAN,1954000226,PRIVATE,No
Dhaka,Dakshinkhan,134563,UTTARA IDEAL SCHOOL,"377 PURBO AJAMPUR (MIJANER GARAJ), DAKSHIN FYDABAD",AZAMPUR,1811787145,PRIVATE,No
Dhaka,Dakshinkhan,134490,MAHABUBUR RAHMAN ADARSHA HIGH SCHOOL,FAYDABAD,FAYDABAD MADRAHSA,1731797622,PRIVATE,No
Dhaka,Dakshinkhan,134459,DEWANPARA MODEL SCHOOL & COLLEG,DEWANPARA,AZAMPUR,1819007576,PRIVATE,No
Dhaka,Dakshinkhan,134458,FAIDABAD IDEAL SCHOOL,FAIDABAD,FAIDABAD,1552384709,PRIVATE,No
Dhaka,Dakshinkhan,134456,SUNFLOWER MODEL SCHOOL,"MOLLARTEK , DAKSHINKHAN, ASHKONA, DHAKA-1230",HAZICAMP,1711286061,PRIVATE,No
Dhaka,Dakshinkhan,134433,LITTLE STAR HIGH SCHOOL,FAYDABAD KATHALTOLA,FAYDABAD,1819474160,PRIVATE,No
Dhaka,Dakshinkhan,134415,GOLDEN LIFE MODEL SCHOOL,"UCHAR TECK, MOSZID ROAD (NEW WATER PAMP) ASHKONA",HAZI CAMP,1716980279,PRIVATE,No
Dhaka,Dakshinkhan,134107,BRIGHTSUN MODEL ACADEMY,"66/1, LANE-2, MUKTIZZODHA SARNI",AZAMPUR,1963299248,PRIVATE,No
Dhaka,Dakshinkhan,134105,AL-SABAH ACADEMY,"403, ASHKONA",HAJCAMP,1717062492,PRIVATE,No
Dhaka,Dakshinkhan,134042,FAZLUL HAQUE BIDYANIKETON,"205, ASHKONA",ASHAKONA,1309134042,PRIVATE,No
Dhaka,Dakshinkhan,108551,GAWAIR ADARSHA HIGH SCHOOL,GAWAIR,ASHKONA,1819474649,PRIVATE,Yes
Dhaka,Dakshinkhan,108549,DAKSHIN KHAN ADARSHA GIRL'S HIGH SCHOOL,"59, DAKSHIN KHAN",DAKSHIN KHAN,1309108549,PRIVATE,Yes
Dhaka,Dakshinkhan,108545,EMARAT HOSSAIN ADARSHA HIGH SCHOOL,DAKSHINKHAN,DAKHIN KHAN,1819927616,PRIVATE,Yes
Dhaka,Dakshinkhan,108544,HAZI BILLAT ALI ADARSHA HIGH SCHOOL,"CHALABAN (HAZIPARA),",AZAMPUR,1915164190,PRIVATE,Yes
Dhaka,Darus Salam,138542,JAHANABAD GOVERNMENT PRIMARY SCHOOL,GOLARTEK,MIRPUR,1708515930,GOVERNMENT PRIMARY,No
Dhaka,Darus Salam,136992,DARUS SALAM GOVT. SECONDARY SCHOOL,ZOHORABAD,MIRPUR,1915859288,PUBLIC,No
Dhaka,Darus Salam,130876,MIRPUR SIDHANTO HIGH SCHOOL,HARIRAMPUR,MIRPUR DHAKA 1216,1712873169,PRIVATE,Yes
Dhaka,Darus Salam,108184,HAZRAT SHAH ALI MODEL HIGH SCHOOL,"10,A- BLOCK -C, 1 ST COLONY,",MIRPUR BARABAZAR,1712824187,PRIVATE,Yes
Dhaka,Darus Salam,108171,BADC HIGH SCHOOL,"05/01, PRINCIPAL ABUL KASHEM ROAD",MIRPUR,1711124108,PRIVATE,Yes
Dhaka,Gendaria,134394,FELICITY EDUCATION CENTRE,47/2 SATISH SARKER ROAD,GENDARIA,1407714216,PRIVATE,No
Dhaka,Gendaria,130758,NARINDA IDEAL SCHOOL AND COLLEGE,"75/2 SHARAT GUPTA ROAD, NARINDA, DHAKA - 1100",DHAKA SADAR,1727409782,PRIVATE,No
Dhaka,Gendaria,108500,ANJUMAN JAMILUR RAHMAN ISLAMIA JUNIOR GIRLS HIGH SCHOOL,12/1 OKHOY  DAS à¦²à§‡à¦¨,GENDARIA,1914742295,PRIVATE,No
Dhaka,Gendaria,108485,NARINDA GOVT. HIGH SCHOOL,57/1 BHAGABAT SHAHA SONKHO NIDHI RD.,DHAKA SADAR,1816571215,PUBLIC,No
Dhaka,Gendaria,108482,GANDARIA HIGH SCHOOL,"23,24 SOTIS SORKAR ROAD",GANDARIA,1916859858,PRIVATE,Yes
Dhaka,Gendaria,108465,ADARSHA ACADEMY GANDARIA,"33/KHA/10, SHOTISH SARKAR ROAD",GANDARIA,1309108465,PRIVATE,Yes
Dhaka,Kalabagan,137175,KHAN HASAN ADORSHO GOVT. PRIMARY SCHOOL,18 FREE SCHOOL,NEWMARKET,1746161677,GOVERNMENT PRIMARY,No
Dhaka,Kalabagan,107970,DHANMONDI HIGH SCHOOL,"14 FREE SCHOOL STREET, HATIRPOOL DHAKA - 1205",NEW MARKET,1309107970,PRIVATE,Yes
Dhaka,Kamrangir Char,137967,ASHRAFABAD GOVT. PRIMARY SCHOOL,ASHRAFABAD,ASHRAFABAD,1779691705,GOVERNMENT PRIMARY,No
Dhaka,Kamrangir Char,137730,SHEIKH JAMAL GOVT. SECONDARY SCHOOL,KAMRANGIRCHAR,KAMRANGIRCHAR,1558316707,PUBLIC,No
Dhaka,Kamrangir Char,133921,SUNRISE KINDERGARTEN & HIGH SCHOOL,7NO. ROAD PURBARASULPUR,ASHRAFABAD,1712860431,PRIVATE,No
Dhaka,Kamrangir Char,133920,NAHAR INTERNATIONAL SCHOOL,BOROGRAM,ASHAFFBAD,1733987613,PRIVATE,No
Dhaka,Kamrangir Char,108055,HAZI ABDUL AWAL HIGH SCHOOL,NOYAGAON,ASHRAFABAD,1911695970,PRIVATE,Yes
Dhaka,Kamrangir Char,108054,WAZUDDIN HIGH SCHOOL,"01, TAKERHATI, KAMRANGIRCHOR",ASHRAFABAD,1716900350,PRIVATE,No
Dhaka,Kamrangir Char,108053,NURJAHAN BEGUM HIGH SCHOOL,HUJUR PARA,ASHRAFABAD,1716915224,PRIVATE,Yes
