"District","Upazila","Eiin","Name","Address","Post Office","Mobile","Management","Mpo"
"Sylhet","Beani Bazar","138067","DIGOLBAK HAZI AKODDAS ALI CHOWDHURY JONIOR SCHOOL","DIGOLBAK","SHELIABAZAR","1722114953","PRIVATE","No"
"Sylhet","Beani Bazar","137864","RAMDHA GOVT. PRIMARY SCHOOL","KARGAON","RAMDHA","1819565729","GOVERNMENT PRIMARY","No"
"Sylhet","Beani Bazar","137209","GORARBOND GOVT. PRIMARY SCHOOL","GORARBOND","BOIRAGIBAZAR","1781154669","GOVERNMENT PRIMARY","No"
"Sylhet","Beani Bazar","136823","BAGBARI SESDP MODEL HIGH SCHOOL","BAGBARI","CHARKHAI","1309136823","PRIVATE","Yes"
"Sylhet","Beani Bazar","136819","BAHADURPUR  HIGH SCHOOL","TIKORPARA","BAHADURPUR","1739955559","PRIVATE","No"
"Sylhet","Beani Bazar","135766","SHALESWAR HIGH SCHOOL","SHALESWAR","SHALESWAR","1724754367","PRIVATE","No"
"Sylhet","Beani Bazar","135648","SHEWLA HIGH SCHOOL","DIGHALBAK","SHELIA BAZAR","1309135648","PRIVATE","Yes"
"Sylhet","Beani Bazar","134319","TAHIRUN NESSA CHOWDHURY ACADEMY CHARKHAI","ADINABAD","CHARKHAI","1749838772","PRIVATE","No"
"Sylhet","Beani Bazar","131081","HAZI FOYZUR RAHMAN ACADEMY","CHUTODESH","BEANI BAZAR","1819569342","PRIVATE","No"
"Sylhet","Beani Bazar","131069","BEANIBAZAR JAMIA ISLAMIA  HIGH SCHOOL","LASHAITALA","BEANI BAZER","1741524663","PRIVATE","No"
"Sylhet","Beani Bazar","131064","AZAD CHOUDHURY ACADEMY","HETIMKHANI","RAMDHA BAZAR","1740601342","PRIVATE","Yes"
"Sylhet","Beani Bazar","130162","NIDANPUR SUPATALA  GIRLS HIGH SCHOOL","SUPATALA","NIDANPUR","1717226580","PRIVATE","No"
"Sylhet","Beani Bazar","130161","KHALIL CHOUDHURY GIRLS ACADEMY","NOYA DUBAG","DUBAG BAZAR","1726148597","PRIVATE","Yes"
"Sylhet","Beani Bazar","130160","SHOPTO GRAM HIGH SCHOOL","KHARAVOBA","KHARAVORA","1714728028","PRIVATE","Yes"
"Sylhet","Beani Bazar","130159","DUBAG IDEAL ACADEMY","UTTAR DUBAG","DUBAG BAZAR","1709246266","PRIVATE","Yes"
"Sylhet","Beani Bazar","130158","THE NEW GENERATION IDEAL HIGH SCHOOL","UTTOR MATHIURA","MATHIURA BAZAR","1731172946","PRIVATE","Yes"
"Sylhet","Beani Bazar","130157","KUSHIARA MODEL HIGH SCHOOL","CHARIA","CHARIA BAZAR","1758611646","PRIVATE","Yes"
"Sylhet","Beani Bazar","130156","DAKSHIN MURIA HIGH SCHOOL","CHUTODESH","BEANI BAZAR","1827355578","PRIVATE","Yes"
"Sylhet","Beani Bazar","130155","KAKORDIA TERADOL HIGH SCHOOL","KAKORDIA TERADOL","TERADHAL BAZAR","1718475925","PRIVATE","Yes"
"Sylhet","Beani Bazar","130154","GHUNGADIA BORODESH GIRL'S HIGH SCHOOL","GHUNGADIA","BEANI BAZAR","1717794895","PRIVATE","Yes"
"Sylhet","Beani Bazar","130153","PANCHA KHANDA ANGURA GIIRLS HIGH SCHOOL","ANGURA","ANGURA","1728818799","PRIVATE","Yes"
"Sylhet","Beani Bazar","130152","ASIRGONJ HIGH SCHOOL","DEBARY","ASIRGONJ","1716215883","PRIVATE","Yes"
"Sylhet","Beani Bazar","130151","SHAHJALAL BAZARA JONIOR HIGH SCHOOL","DEULGRAM (KALAPUR)","DEULGRAM","1718273214","PRIVATE","Yes"
"Sylhet","Beani Bazar","130150","PURBA MURIA HIGH SCHOOL","SARPAR","PURBA MURIA","1833167789","PRIVATE","Yes"
"Sylhet","Beani Bazar","130149","GOBINDA SREE HIGH SCHOOL","GOBINDOSREE HIGH SCHOOL","GOBINDASREE","1309130149","PRIVATE","Yes"
