District,Upazila,Eiin,Name,Address,Post Office,Mobile,Management,Mpo
Sunamganj,South Sunamganj,137933,SADARPUR GOVT. PRIMARY SCHOOL,SADARPUR,PAGLABAZAR,1721483036,GOVERNMENT PRIMARY,No
Sunamganj,Dharmapasha,129896,GACHTOLA HIGH SCHOOL,GACHTOLA,PAIKURATI,1727909677,PRIVATE,Yes
Sunamganj,Dharmapasha,129895,DHARAMPASHA GIRLS HIGH SCHOOL,DHARAMPASHA,DHARMAPASHA,1719527129,PRIVATE,Yes
Sunamganj,Dharmapasha,129894,ABIDNAGAR HIGH SCHOOL,ABIDNAGAR,ABIDNAGAR,1724112448,PRIVATE,Yes
Sunamganj,Dharmapasha,129893,GOLHA HIGH SCHOOL,GALHA,GALHA,1714628422,PRIVATE,Yes
Sunamganj,Dharmapasha,129892,JOYSREE HIGH SCHOOL,JOYSREE,JOYSREE,1716970871,PRIVATE,Yes
Sunamganj,Dharmapasha,129891,BANGSHIKUNDA MOMIN HIGH SCHOOL,BANGSHIKUNDA,BANGSHIKUNDA,1309129891,PRIVATE,Yes
Sunamganj,Dharmapasha,129890,BADSHAGONJ PUBLIC  HIGH SCHOOL,BADSHAGONJ,BADSHAHGONJ,1741204123,PUBLIC,Yes
Sunamganj,Dharmapasha,129889,JANATA MODEL HIGH SCHOOL DHARMAPASHA,DHARMAPASHA,DHARMAPASHA,1765136955,PRIVATE,Yes
Sunamganj,South Sunamganj,139040,TAILA PANCHAGRAM JUNIOR HIGH SCHOOL,"TAILA,",RAJONIGANJ,1720166174,PRIVATE,No
Sunamganj,South Sunamganj,138879,SOLOF JUNIOR HIGH SCHOOL,"???,",BIRGAON BAZAR,1716233611,PRIVATE,No
Sunamganj,South Sunamganj,138788,SAPTAGRAM HOLDARKANDI JUNIOR SCHOOL,BIRKALAS,AMRIA,1753043416,PRIVATE,No
Sunamganj,South Sunamganj,137953,GAGLI NARAINPUR JUNIOR SCHOOL,GAGLI,UZANIGAON,1967418535,PRIVATE,No
Sunamganj,Dharampasha,129897,MOHISKHALA HIGH SCHOOL,MOHISKHALA,SAUDPARA,1721928313,PRIVATE,Yes
Sunamganj,South Sunamganj,137244,SHYAMNAGAR GOVT. PRIMARY SCHOOL,SHYAMNAGAR,THAKURBHOG,1714507875,GOVERNMENT PRIMARY,No
Sunamganj,South Sunamganj,137055,ISHAKPUR-SHREERAMPUR JUNIOR SCHOOL,SHREERAMPUR,SADIPUR,1708952546,PRIVATE,No
Sunamganj,South Sunamganj,130056,ABDUR RASHID HIGH SCHOOL,DARGAPASHA,DURGAPASHA,1718388219,PRIVATE,Yes
Sunamganj,South Sunamganj,130041,NOAKHALI SAPTOGRAM HIGH SCHOOL,NOAKHALI,NOAKHALI BAZAR,1718108863,PRIVATE,Yes
Sunamganj,South Sunamganj,130040,PURBA PAGLA HIGH SCHOOL,CHURKHAI,DHAMODHRATPI,1718069070,PRIVATE,Yes
Sunamganj,South Sunamganj,130035,ABDUL GAFUR HIGH SCHOOL AND COLLEGE,ALAM PUR,DHAMODHORTOPI BAZAR,1712827203,PRIVATE,Yes
Sunamganj,South Sunamganj,130027,JOYKALAS UJANIGAON RASHIDIA GOVT. HIGH SCHOOL,UJANIGAON,UJANIGAON,1748858974,PUBLIC,Yes
Sunamganj,South Sunamganj,130020,GONINOGAR SHOLOGRAM HIGH SCHOOL,GONIGANJ-3,GONIGANJ BAZAR,1714674799,PRIVATE,Yes
Sunamganj,South Sunamganj,130018,PANCHAGRAM HIGH SCHOOL,RANSI,DAMODHARTAPI,1740943100,PRIVATE,Yes
Sunamganj,South Sunamganj,130017,BIRGAON EMDADUL HUQ HIGH SCHOOL,BIRGAON,BIRGAON,1713811891,PRIVATE,Yes
