District,Upazila,Eiin,Name,Address,Post Office,Mobile,Management,Mpo
Kishoreganj,Karimgonj,110354,ICHCHAGANJ HIGH SCHOOL,JATIA PARA,GUJADIA,1711368617,PRIVATE,Yes
Kishoreganj,Karimgonj,110364,ZAFRABAD HIGH SCHOOL,JAFRA BAD,JUNGLEBARI,1309110364,PRIVATE,Yes
Kishoreganj,Karimgonj,110363,KANDAIL HIGH SCHOOL,KANDAIL,JOYKA,1732767740,PRIVATE,Yes
Kishoreganj,Karimgonj,110362,DEHUNDA HIGH SCHOOL,CHAR DEHUNDA,DENHUNDA BAZAR,1910584660,PRIVATE,Yes
Kishoreganj,Karimgonj,110361,GUNDHAR UNION HIGH SCHOOL,KADIM MAIZ HATI,JOYKA,1729846278,PRIVATE,Yes
Kishoreganj,Karimgonj,110359,GUZADIA A H SECONDARY SCHOOL,GUZADIA,GUZADIA,1772835596,PRIVATE,Yes
Kishoreganj,Karimgonj,110358,CHATAL S C HIGH SCHOOL,CHATOL,KORIMGANJ,1309110358,PRIVATE,Yes
Kishoreganj,Karimgonj,110357,HATRAPARA HIGH SCHOOL,HATRAPARA,NIL GANJ,1727321640,PRIVATE,Yes
Kishoreganj,Karimgonj,110356,KARIMGANJ PILOT HIGH SCHOOL,KARIMGANJ,KARIMGANJ,1724579772,PUBLIC,Yes
Kishoreganj,Karimgonj,110355,KARIMGANJ PILAT GIRLS SCHOOL,KARIMGONJ,KARIMGANJ,1722180605,PRIVATE,Yes
Kishoreganj,Karimgonj,110365,GUJADIA SHIMULTOLA  HIGH SCHOOL,PATHARIA PARA,NAMAPARA,1731584614,PRIVATE,Yes
Kishoreganj,Karimgonj,110353,URDIGHI  HIGH SCHOOL,URDIGHI,URDIGHI,1718480931,PRIVATE,Yes
Kishoreganj,Karimgonj,110352,BHATIA HIGH SCHOOL,BHATIA,NIAMOTPUR,1718159708,PRIVATE,Yes
Kishoreganj,Karimgonj,110351,NANSREE HIGH SCHOOL,NANSREE,NANSREE,1716091854,PRIVATE,Yes
Kishoreganj,Karimgonj,110350,BALIA HIGH SCHOOL,PARABALIA,PARABALIA,1725465762,PRIVATE,Yes
Kishoreganj,Karimgonj,110349,PITUA ADARSHO HIGH SCHOOL,PITUA,GUAJADIA,1768002059,PRIVATE,Yes
Kishoreganj,Karimgonj,110348,SUTARPARA JUNIOR SCHOOL,SUTARPARA,NYAMTPUR,1712460232,PRIVATE,No
Kishoreganj,Karimgonj,110347,SHAMSUNNAHAR OSMAN GHANI SHIKHYA NIKETAN,3414,NAMA PARA,1718166841,PRIVATE,Yes
Kishoreganj,Karimgonj,110346,JANGAL BARI HIGH SCHOOL,JANGALBARI,JANGALBARI,1714896339,PRIVATE,Yes
Kishoreganj,Mithamoin,110516,GOPEDIGHI J.N HIGH SCHOOL,GOPEDIGHI,GOPIDIGHI,1716722668,PRIVATE,Yes
Kishoreganj,Mithamoin,137186,KEWAR JURE GOVT. PRIMARY SCHOOL,KEWARJURE,BHATIGHAGRA,1717081819,GOVERNMENT PRIMARY,No
Kishoreganj,Mithamoin,135472,BOIRATI SESDP MODEL HIGH SCHOOL,BOIRATI,KHATKHAL,1715078129,PRIVATE,Yes
Kishoreganj,Mithamoin,110522,DHALAI BAGADIA HIGH SCHOOL,DHALAI BAGADIA,GOPDHIGI,1714991678,PRIVATE,Yes
Kishoreganj,Mithamoin,110521,CHARIGRAM HIGH SCHOOL,CHARIGRAM,DHAKI,1781818974,PRIVATE,Yes
Kishoreganj,Mithamoin,110520,DHAKI FUL BARIA SECONDARY SCHOOL,DHAKI,DHAKI,1719872299,PRIVATE,Yes
Kishoreganj,Mithamoin,110519,KANCHANPUR HAOR HIGH SCHOOL,KANCHANPUR,KANCHANPUR,1825395169,PRIVATE,Yes
Kishoreganj,Mithamoin,110518,KATKHAL HIGH SCHOOL,KATKHAL,KHATKHAL,1712420870,PRIVATE,Yes
Kishoreganj,Mithamoin,110517,HAJI TAYEB UDDIN HIGH SCHOOL,MITHAMOIN,MITHAMOIN,1912276068,PRIVATE,Yes
Kishoreganj,Mithamoin,137942,BHARA GOVT. PRIMARY SCHOOL,BHARA,BHATI GHAGRA,1712230429,GOVERNMENT PRIMARY,No
Kishoreganj,Mithamoin,110515,GOVT. TAMIZA KHATUN GIRLS HIGH SCHOOL,MITHAMAIN,MITHAMAIN,1712566888,PUBLIC,No
Kishoreganj,Mithamoin,110514,M. A. GONI BHUYAIN HIGH SCHOOL,ATPASHA,DHAKI,1718001363,PRIVATE,Yes
Kishoreganj,Mithamoin,110513,GHAGRA ABDUL GANI HIGH SCHOOL,GHAGRA,BHATI GHAGRA,1309110513,PRIVATE,Yes
Kishoreganj,Karimgonj,138935,SALAUDDIN AHMED IDEAL SCHOOL,JALLABAD,BOULAI,1623904628,PRIVATE,No
Kishoreganj,Karimgonj,138912,ALHAJ ARSHAD UDDIN JUNIOR GIRLS SCHOOL,RAUHA,NIAMATPUR,1711593815,PRIVATE,No
Kishoreganj,Karimgonj,138747,HAZI ABDUL MANNAN BUHIYAN JUNIOR SCHOOL,SUDHI,URDIGI,1740988373,PRIVATE,No
Kishoreganj,Karimgonj,138621,PARADISE JUNIOR SCHOOL,RAMNAGAR,NAMAPARA,1613590047,PRIVATE,No
Kishoreganj,Karimgonj,137196,SATARPUR GOVT. PRIMARY SCHOOL,SATARPUR,BOULAI,1711660897,GOVERNMENT PRIMARY,No
