District,Upazila,Eiin,Name,Address,Post Office,Mobile,Management,Mpo
Gaibandha,Phulchari,121072,FULCHHARI PILOT HIGH SCHOOL,GAZARIA,FULCHHARI,1717329110,PUBLIC,No
Gaibandha,Phulchari,121073,KANCHIPARA M A U ACADEMY,KANCHIPARA,BHANANIGANJ,1309121073,PRIVATE,Yes
Gaibandha,Phulchari,121074,SAIDPUR BL HIGH SCHOOL,BHASAR PARA,BHAWANIGANJ,1309121074,PRIVATE,Yes
Gaibandha,Phulchari,121075,GOONVARI B. L. HIGH SCHOOL,2 NO URIA,GOONVARI,1716348934,PRIVATE,Yes
Gaibandha,Phulchari,121076,GOLAKATI HIGH SCHOOL,HORIPUR,UDAKHALI,1724069448,PRIVATE,Yes
Gaibandha,Phulchari,121077,JIGA BARI HIGH SCHOOL,JIGABARI,ERENDABARI,1713544908,PRIVATE,Yes
Gaibandha,Phulchari,121078,MANIKKOR HIGH SCHOOL,MANIKKOR,FAZLUPUR,1715234638,PRIVATE,Yes
Gaibandha,Phulchari,121079,UDAKHALI HIGH SCHOOL,UDAKHALI,UDAKHALI,1711413793,PRIVATE,Yes
Gaibandha,Phulchari,121080,KANCHIPARA N H A GIRLS HIGH SCHOOL,KANCHIPARA,BHABANIGONJ,1712910452,PRIVATE,Yes
Gaibandha,Phulchari,121081,SALUA FAZLEY RABBI GIRLS HIGH SCHOOL,SALUA,UDAKHALI,1724137532,PRIVATE,Yes
Gaibandha,Phulchari,121082,HORICHANDI HIGH SCHOOL,HORICHANDI,HORICHANDI,1309121082,PRIVATE,Yes
Gaibandha,Phulchari,121083,UDAKHALI ADARSHA GIRLS HIGH SCHOOL,3,UDAKHALI,1714581339,PRIVATE,Yes
Gaibandha,Phulchari,121084,JAMILA AKTER HIGH SCHOOL,KATALAMARI,FULCHHARI,1710814475,PRIVATE,Yes
Gaibandha,Phulchari,121085,CHANDONSUR HIGH SCHOOL,CHANDONSUR,FAZLUPUR,1718333836,PRIVATE,Yes
Gaibandha,Phulchari,121086,ALGAR CHAR JUNIOR GIRL'S SCHOOL,ALGAR CHAR,ERENDABARI,1734193286,PRIVATE,Yes
Gaibandha,Phulchari,135892,FULCHARI JUNIOR SCHOOL,,TENGRAKANDI,1732420321,PRIVATE,No
Gaibandha,Phulchari,137536,PARUL GOVT. PRIMARY SCHOOL,PIPULIA,TENGRAKANDI,1824951994,GOVERNMENT PRIMARY,No
