District,Upazila,Eiin,Name,Address,Post Office,Mobile,Management,Mpo
Mymensingh,Gafargaon,138976,SYEDUL ISLAM SAYED HIGH SCHOOL,DHOBAGHAT,PACHOA,1717334720,PRIVATE,No
Mymensingh,Gafargaon,137326,BONOGRAM GOVT. PRIMARY SCHOOL,BONOGRAM,UTHURI,1712349371,GOVERNMENT PRIMARY,No
Mymensingh,Gafargaon,136843,BIL MAKHOL SESDP MODEL HIGH SCHOOL,BIL MAKHOL,NIGUARI,1736636661,PRIVATE,Yes
Mymensingh,Gafargaon,135729,ANWARA MODEL JUNIOR SCHOOL,TALALI,NIGUARY,1716586613,PRIVATE,No
Mymensingh,Gafargaon,130797,ROUHA HIGH SCHOOL,ROUHA,GAFARGAON,1915178861,PRIVATE,Yes
Mymensingh,Gafargaon,130796,KANDI GRAM JUNIOR GIRLS SCHOOL,KANDI,KANDI,1731842114,PRIVATE,No
Mymensingh,Gafargaon,111597,DARGAH BARI HIGH SCHOOL,CHARMOSLONDO,CHAR MASLANDA,1760445002,PRIVATE,No
Mymensingh,Gafargaon,111596,USTHI UNION ADARSHA HIGH SCHOOL,KALURGAON,JAYEDABAD,1715566180,PRIVATE,Yes
Mymensingh,Gafargaon,111594,TALALI HIGH SCHOOL,TALALI,NIGUARI,1716150264,PRIVATE,Yes
Mymensingh,Gafargaon,111593,NATUN BAZAR JANATA ADARSHA BIDHA NIKATON,KANDI PARA,KANDIPARA,1922050372,PRIVATE,Yes
Mymensingh,Gafargaon,111592,KANDI HIGH SCHOOL,KANDI,KANDI,1717480703,PRIVATE,Yes
Mymensingh,Gafargaon,111591,ABDUR RAHMAN KHAN MAMORIL SCHOOL,LANGAIR,LANGAIR,1711686825,PRIVATE,No
Mymensingh,Gafargaon,111590,MUJIBUR RAHMAN HIGH SCHOOL,KATHULIDANGA,KATHALIDANGA,1714717455,PRIVATE,Yes
Mymensingh,Gafargaon,111588,LUTFUNNESA BALIKA BIDDANIKETON,PAGLA,PAGLA BAZAR,1917030540,PRIVATE,Yes
Mymensingh,Gafargaon,111587,JAY DHAR KHALI GIRLS HIGH SCHOOL,Joydharkhali,Joydharkhali,1714376538,PRIVATE,Yes
Mymensingh,Gafargaon,111586,SHOHID LT.ATIQUR RAHMAN HIGH SCHOOL,BARBHARA,RASULPUR,1733100650,PRIVATE,Yes
Mymensingh,Gafargaon,111585,HATEMTAI HIGH SCHOOL,MAIZBARI,MAIZBARI,1638754864,PRIVATE,Yes
Mymensingh,Gafargaon,111584,ABUL HASEM JUNIOR HIGH SCHOOL,DIMAIL,HOSSAIN SHAHI,1710961497,PRIVATE,Yes
Mymensingh,Gafargaon,111583,BARABARIA HIGH SCHOOL,BARABARIA,BARA BARIA,1732994820,PRIVATE,Yes
Mymensingh,Gafargaon,111582,DAYLATPUR HIGH SACHOOL,DAULOTPUR,ATHARADINA,1724418246,PRIVATE,Yes
Mymensingh,Gafargaon,111581,FAZLUL HAQUE ADARSHA HIGH SCHOOL,BALDI,MUKHI,1725914666,PRIVATE,Yes
Mymensingh,Gafargaon,111580,CHEPAN HIGH SCHOOL,SIPAN,DUGASIA,1720545207,PRIVATE,Yes
Mymensingh,Gafargaon,111579,BAMUN KHALI GIRLS HIGH SCHOOL,BAMUNKHALI,BASHIA,1720392312,PRIVATE,Yes
Mymensingh,Gafargaon,111578,CHARIPARA JUNIOR GIRLS SCHOOL,CHARIPARA,CHARPARA,1728690814,PRIVATE,Yes
Mymensingh,Gafargaon,111577,OSMANGONI GIRLS HIGH SCHOOL,BABUI GAW,DATTER BAZAR,1721530634,PRIVATE,Yes
Mymensingh,Gafargaon,111576,SABJE ALI GIRLS HIGH SCHOOL,JASARI,SHEBJANJ,1729706282,PRIVATE,Yes
Mymensingh,Gafargaon,111575,RASULPUR GIRLS HIGH SCHOOL,RASULPUR,RASULPUR,1724738102,PRIVATE,Yes
Mymensingh,Gafargaon,111574,GHAGRA PURABARIA SIPAN JUNIOR GIERLS HIGH SCHOOL,GHAGRA,MIRBARI,1715204541,PRIVATE,Yes
Mymensingh,Gafargaon,111573,RAZIA  JR. HIGH SCHOOL,PORSHI PARA,PARSHIPARA,1716739045,PRIVATE,Yes
Mymensingh,Gafargaon,111572,MOHIR KHARUA RABEYA GIRLS JUNIOR SCHOOL,MAHIR KHARUA,MAHIR KHARUA,1309111572,PRIVATE,Yes
Mymensingh,Gafargaon,111571,SAHEB ALI ACADEMY,PAGLA,PAGLA BAZAR,1715938236,PRIVATE,Yes
Mymensingh,Gafargaon,111570,MOSHAKHALI GIRLS HIGH SCHOOL,MOSHAKHALI,HOSSAIN SHAHI,1919636206,PRIVATE,Yes
Mymensingh,Gafargaon,111569,KALAIPAR JALESWAR GIRLS HIGH SCHOOL,JALESSOR,GAFARGAON,1309111569,PRIVATE,Yes
Mymensingh,Gafargaon,111568,SHAHID NAGAR HIGH SCHOOL,SHAHID NAGAR,JOYDHAR KHALI,1726954474,PRIVATE,Yes
Mymensingh,Gafargaon,111567,SADUA SHAIKH REAZ UDDIN AHMED UCHYA BALIKA BIHYALAY,SADHUR,SADHUA BAZAR,1912648608,PRIVATE,Yes
Mymensingh,Gafargaon,111566,CHARMASLAND GIRLS HIGH SCHOOL,CHARMASLAND,CHAR MASLANDA,1716194304,PRIVATE,Yes
Mymensingh,Gafargaon,111565,DIGHA HIGH SCHOOL,DIGHA,DHIGA,1731270792,PRIVATE,Yes
Mymensingh,Gafargaon,111564,BERAI TAL TALA GIRLS HIGH SCHOOL,BERAI,Datter Bazar,1916623602,PRIVATE,Yes
