District,Upazila,Eiin,Name,Address,Post Office,Mobile,Management,Mpo
Rajbari,Pangsa,113337,SHAHID KHABIRUZZAMAN HIGH SCHOOL,BAHADUR PUR,BAHADURPUR,1309113337,PRIVATE,Yes
Rajbari,Pangsa,113349,SARISA PREMTIA HIGH SCHOOL,SARISHA,PREMTIA,1733167393,PRIVATE,Yes
Rajbari,Pangsa,113348,PUIJORE A.G.M. HIGH SCHOOL,PUIJORE,PUIJORE,1719285238,PRIVATE,Yes
Rajbari,Pangsa,113347,B M D HIGH SCHOOL,DHEPA,BOIRAT MAJAIL MAD,1309113347,PRIVATE,Yes
Rajbari,Pangsa,113344,MEGHNA HIGH SCHOOL,METHNA,MEGHNA,1825054216,PRIVATE,Yes
Rajbari,Pangsa,113342,PATTA JONA HIGH SCHOOL,PATTA,JONA,1762606551,PRIVATE,Yes
Rajbari,Pangsa,113341,NADURIA HIGH SCHOOL,NADURIA,BISAI SAORAIL,1721856616,PRIVATE,Yes
Rajbari,Pangsa,113340,BAHALADANGA HIGH SCHOOL,BAHALADANGA,HATBONAGRAM,1912405078,PRIVATE,Yes
Rajbari,Pangsa,113339,BAGDULI HIGH SCHOOL,BAJAAUPTA MALUNCHI,MOURAT,1726353546,PRIVATE,Yes
Rajbari,Pangsa,113338,HOSSAN DANGA NILUFAR RAFIQUE HIGH SCHOOL,HOSSAIN DANGA,HOSSAINDANGA,1309113338,PRIVATE,Yes
Rajbari,Pangsa,113350,YAKUB ALI CHOWDHURY BIDDYAPITH,GUDHIBARI,PANGSA,1717450156,PRIVATE,Yes
Rajbari,Pangsa,113333,PANGSA PILOT GIRLS HIGH SCHOOL,NARAYANPUR,PANGSA,1716330409,PRIVATE,Yes
Rajbari,Pangsa,113330,NADIR HOSSAIN GIRLS HIGH SCHOOL,KASHBAMAJAIL,KASHBAMAJAIL,1309113330,PRIVATE,Yes
Rajbari,Pangsa,113328,KASHBA MAJAIL A H HIGH SCHOOL,DEMNAMARA,KASHBA MAJAIL,1309113328,PRIVATE,Yes
Rajbari,Pangsa,113326,MACHPARA ML HIGH SCHOOL,MACHPARA,RAMCOL,1309113326,PRIVATE,Yes
Rajbari,Pangsa,113323,HABASHPUR K.RAJ HIGH SCHOOL,HABASPUR,HABASPUR,1721575741,PRIVATE,Yes
Rajbari,Pangsa,113322,PANGSHA GEORGE PILOT HIGH SCHOOL,NARAYANPUR,PANGSA,1718579981,PUBLIC,Yes
Rajbari,Pangsa,113321,KAZI ABDUL MAJED ACADEMY,MAGURADANGI,PANGSHA,1309113321,PRIVATE,Yes
Rajbari,Pangsa,113320,UDAY PUR HIGH SCHOOL,UDAYPUR,HABASHPUR,1711513525,PRIVATE,Yes
Rajbari,Pangsa,113373,CHAR HARINADANGA  HIGH SCHOOL,CHAR HARINADANGA,MOURAT,1718884629,PRIVATE,Yes
Rajbari,Pangsa,137461,MOISHALA GOVT. PRIMARY SCHOOL,PANGSHA,PANGSHA,1917275575,GOVERNMENT PRIMARY,No
Rajbari,Pangsa,131508,LUTFOR RAHMAN MEMORAL JUNIOR HIGH SCHOOL,KEWAGRAM,KALIMAHOR,1723256408,PRIVATE,Yes
Rajbari,Pangsa,131489,AL-HAJ SHAHABUDDIN AHMED ADARSHA ACCADAMY,CHARPARA,HABASPUR,1717656338,PRIVATE,No
Rajbari,Pangsa,131458,JASHAI HIGH SCHOOL,GURUCHANDI,JASHAI,1713527205,PRIVATE,Yes
Rajbari,Pangsa,113378,BABUPARA JUNIOR HIGH SCHOOL,VATTACHARJA PARA,BABUPARA,1729464193,PRIVATE,No
Rajbari,Pangsa,113377,DHENKI PARA JUNIOR HIGH SCHOOL,DHANKIPARA,PANGSHA,1712564635,PRIVATE,Yes
Rajbari,Pangsa,113376,BONGRAM ATARUNNESA JUNIOR GIRLS HIGH SCHOOL,"BANGRAM,GOPIMOHAN SHAROK",HAT BANAGRAM,1775287876,PRIVATE,No
Rajbari,Pangsa,113374,CHARJHIKARI JUNIOR SECONDARY GIRLS SCHOOL,CHARJHIKARI,KACHARIPARA,1725977924,PRIVATE,Yes
Rajbari,Pangsa,138336,NURUZZAMAN MIA JUNIOR GIRLS SCHOOL,SAMASPUR,JASHAI,1792592880,PRIVATE,No
Rajbari,Pangsa,113365,PATIKABARI MOHAMMAD ALI KHAN HIGH SCHOOL,PATIKABARI,BAHADURPUR,1710652671,PRIVATE,Yes
Rajbari,Pangsa,113363,CHARAFRA HIGH SCHOOL,CHAR AFRA,KACHARIPARA,1715477105,PRIVATE,Yes
Rajbari,Pangsa,113362,SUZANAGAR  HIGH SCHOOL,SUZANAGAR,BABUPARA,1309113362,PRIVATE,Yes
Rajbari,Pangsa,113361,KOLANAGAR ACADEMY,KOLANAGAR,PREMTIA,1712422939,PRIVATE,Yes
Rajbari,Pangsa,113359,GOPALPUR COLLEGIATE HIGH SCHOOL,GOPALPUR,HOSSAINDANGA,1726274572,PRIVATE,Yes
Rajbari,Pangsa,113358,NISCHINTA PUR HIGH SCHOOL,NISCHINTAPUR,BABUPARA,1729512267,PRIVATE,Yes
Rajbari,Pangsa,113352,SAJURIA JEHRA ZARIN HIGH SCHOOL,HOSSENDANGA,HOSENDANGA,1720321080,PRIVATE,Yes
Rajbari,Pangsa,113351,HAT BONGRAM HIGH SCHOOL,HATBONGRAM,HAT BONGRAM,1740887262,PRIVATE,Yes
