District,Upazila,Eiin,Name,Address,Post Office,Mobile,Management,Mpo
Khulna,Botiaghata,116833,BATIAGHATA THANA H. Q. PILOT HIGH SCHOOL,HETAL BUNIA,BATIAGHATA,1309116833,PRIVATE,Yes
Khulna,Botiaghata,116834,BATIAGHATA THANA H. Q. GIRLD HIGH SCHOOL,HETAL BUNIA,BATIAGHATA,1309116834,PRIVATE,Yes
Khulna,Botiaghata,116835,HOGOL BUNIA HATBATI HIGH SCHOOL,HOGOL BUNIA,BATIA GATA,1935368618,PRIVATE,Yes
Khulna,Botiaghata,116836,BAYARBHANGA BISWANBHARA HIGH SCHOOL,BAYARBHANGA,BAYARBHANGA,1925828810,PRIVATE,Yes
Khulna,Botiaghata,116837,BATIAGHATA  SECONDARY  SCHOOL,BATIAGHATA,KANCHAN  NAGAR,1926305286,PRIVATE,Yes
Khulna,Botiaghata,116838,GOVT. JALMA CHAKRAKHALI  SECONDARY SCHOOL,CHAKRAKHALI,JALMA,1717003607,PUBLIC,Yes
Khulna,Botiaghata,116839,B L J SECONDARY SCHOOL,BHANDARKOTE,BANDER KOTE,13091168839,PRIVATE,Yes
Khulna,Botiaghata,116840,RASHOHAN GIRL'S HIGH SCHOOL,BOYARBHANGA/ 181,à¦¬à§Ÿà¦¾à¦°à¦­à¦¾à¦™à§à¦—à¦¾,1712995109,PRIVATE,Yes
Khulna,Botiaghata,116841,DEUATALA SECONDARY SCHOOL,DEUATALA,KATIANANGLA,1912163996,PRIVATE,Yes
Khulna,Botiaghata,116842,SHIALI DANGA MULTI SECONDARY SCHOOL,SHIALIDANGA,HALIA,1309116842,PRIVATE,Yes
Khulna,Botiaghata,116843,SURKHALI SECONDARY SCHOOL,SURKHALI,SURKHALI,1713921246,PRIVATE,Yes
Khulna,Botiaghata,116844,GAOGHARA ML. HIGH SCHOOL,GAOGHARA,GARIARDANGA,1745398506,PRIVATE,Yes
Khulna,Botiaghata,116845,KHALSHI BUNIA G.P.B HIGH SCHOOL,KHALSHI BUNIA,SHUKDARA,1982466727,PRIVATE,Yes
Khulna,Botiaghata,116846,PHULBARI HIGH  SCHOOL,BALIADANGA,PHULBARI,1742174711,PRIVATE,Yes
Khulna,Botiaghata,116847,ALAIPUR RAJBANDH HIGH SCHOOL,ALAIPUR,KAIYA BAZAR,1712995286,PRIVATE,Yes
Khulna,Botiaghata,116848,J. K. A. G. SECONDRY SCHOOL,JINAIKHALI,AMIRPUR,1309116848,PRIVATE,Yes
Khulna,Botiaghata,116849,PROGATI SECONDARY SCHOOL,TALIAMARA,FULBARI,1309116849,PRIVATE,Yes
Khulna,Botiaghata,116850,PARBATIAGHATA GIRLS SECONDARY SCHOOL,PARBATIAGHATA,KANCHAN NAGAR,1748923906,PRIVATE,Yes
Khulna,Botiaghata,116851,PROGATIMADHYAMICK BIDYAPITH RAJBANDH,HOGLADANGA,KAYA BAZAR,1739521129,PRIVATE,Yes
Khulna,Botiaghata,116852,HALIA BENODE BEHARI HIGH SCHOOL,HALIA,HALIA,1921918165,PRIVATE,Yes
Khulna,Botiaghata,116853,SARAWATI HIGH SCHOOL,SACHIBUNIA,SOY GORIA,1741375372,PRIVATE,Yes
Khulna,Botiaghata,116854,BAROARIA SECONDARY SCHOOL,BAROARIA,BAROARIA,1715467025,PRIVATE,Yes
Khulna,Botiaghata,116855,B.H.M.H. HIGH SCHOOL,HETALBUNIA,BATIA GHATA,1927407784,PRIVATE,Yes
Khulna,Botiaghata,116856,SUKDARA HIGH SCHOOL,SUKDARA,SHUK DARA,1725435493,PRIVATE,Yes
Khulna,Botiaghata,116857,BIRAT SECONDARY SCHOOL,BIRAT,BIRAT,1715782425,PRIVATE,Yes
Khulna,Botiaghata,135015,REV. BENEDICT MEMORIAL SCHOOL,DOUNIAFAD,JALMA,1723421478,PRIVATE,No
Khulna,Botiaghata,137488,PUTIMARY GOVT. PRIMARY SCHOOL,PUTIMARY,JALMA,1751721940,GOVERNMENT PRIMARY,No
Khulna,Dakop,116873,DAKKIN GUNARI SECONDSRY SCHOOL,GUNARI,GUNARI,1309116873,PRIVATE,Yes
Khulna,Dakop,116874,CHALNA BAZAR GOVT. GIRLS HIGH SCHOOL,CHALNA BAZAR,CHALNA BAZAR,1943501079,PUBLIC,No
Khulna,Dakop,116875,BAJUA UNION HIGH SCHOOL,BAJUA,BAJUA,1731986832,PRIVATE,Yes
Khulna,Dakop,116876,CHUNKURI HIGH SCHOOL,CHUNKURI,CHUNKURI,1917794803,PRIVATE,Yes
Khulna,Dakop,116877,LAUDOVE BANISANTA HIGH SCHOOL,UTTAR BANISANTA,LAUDOB,1712534510,PRIVATE,Yes
Khulna,Dakop,116878,DACOPE SHAHEBERABAD SECONDARY SCHOOL,DACOPE,SHAHEBERABAD,1712768404,PRIVATE,Yes
Khulna,Dakop,116879,TRIMOHANI SECONDARY SCHOOL,DHOPADI,DHOPADI,1727295998,PRIVATE,Yes
Khulna,Dakop,116880,SUTERKHALI HIGH SCHOOL,SUTARKHALI,SUTARKHALI,1309116880,PRIVATE,Yes
Khulna,Dakop,116881,BANISHANTA PINAK PANI SECONDARY SCHOOL,KHAJURIA,BANISHANTA,1985012344,PRIVATE,Yes
Khulna,Dakop,116882,SREE NAGAR HIGH SCHOOL,SREENAGAR,KHALINAGAR BAZAR,1309116882,PRIVATE,Yes
Khulna,Dakop,116883,GUNARI SHITAL CHANDRA  SECONDARY SCHOOL,GUNARI,GUNARI,1715072293,PRIVATE,Yes
Khulna,Dakop,116884,BAJUA  SECONDARY  GIRLS SCHOOL,BAJUA,BAJUA,1716954119,PRIVATE,Yes
Khulna,Dakop,116885,KAMINI BASIA G.L. HIGH SCHOOL,KAMINIBASIA,KAMINIBASIA,1914719046,PRIVATE,Yes
