District,Upazila,Eiin,Name,Address,Post Office,Mobile,Management,Mpo
Bogura,Dhunot,119331,GOSSAIN BARI A. A. HIGH SCHOOL,GOSSAINBARI,GOSSAINBARI,1309119331,PRIVATE,Yes
Bogura,Dhunot,119332,DHUNAT N.U. GOVT. MODEL PILOT HIGH SCHOOL,DHUNAT,DHUNAT,1309119332,PUBLIC,Yes
Bogura,Dhunot,119333,KHADULI HIGH SCHOOL,KHADULI,PIRHATI,1309119333,PRIVATE,Yes
Bogura,Dhunot,119334,SHORUGRAM ML HIGH SCHOOL,SHORUGRAM,KANTA NAGAR,1718825258,PRIVATE,Yes
Bogura,Dhunot,119335,ELANGI HIGH SCHOOL,ELANGI,ELANGI,1726726135,PRIVATE,Yes
Bogura,Dhunot,119336,BHANDER BARI SALEHA ZAHURA HIGH SCHOOL,BHANDER BARI,NEW SHARIAKANDI,1309119336,PRIVATE,Yes
Bogura,Dhunot,119337,GOPALNAGAR U A K HIGH SCHOOL,MAHISHURA,MAHISHURA,1309119337,PRIVATE,Yes
Bogura,Dhunot,119338,KHATIAMARI HIGH SCHOOL,KHATIAMARI,KHATIAMARI,1734355932,PRIVATE,Yes
Bogura,Dhunot,119339,JORESHIMUL HIGH SCHOOL,JORSHIMUL,JORESHIMUL,1309119339,PRIVATE,Yes
Bogura,Dhunot,119340,BERER BARI B L HIGH SCHOOL,BARER BARI,BERER BARI,1718281098,PRIVATE,Yes
Bogura,Dhunot,119341,"BOGA B,L HIGH SCHOOL",JOLAGATY,CHATIANI,1309119341,PRIVATE,Yes
Bogura,Dhunot,119342,KALER PARA B L HIGH SCHOOL,KALERPARA,KALER PARA,1714659444,PRIVATE,Yes
Bogura,Dhunot,119343,SONAR GAON HIGH SCHOOL,SONAR GOAN,CHIKASHI,1309119343,PRIVATE,Yes
Bogura,Dhunot,119344,BISWAHARIGACHHA BOHALGACHHA HIGH SCHOOL,BISWAHARIGACHHA,BISHWAHARIGACHHA,1716130463,PRIVATE,Yes
Bogura,Dhunot,119345,CHIKASHI  INTER  UNION  HIGH  SCHOOL,CHIKASHI,CHIKASHI,1748113046,PRIVATE,Yes
Bogura,Dhunot,119346,PANCHTHUPI NASRATPUR JAHER ALI HIGH SCHOOL,PANCHTHUPI,PIRHATI,1712340247,PRIVATE,Yes
Bogura,Dhunot,119347,SONAHATA HIGH SCHOOL,SONAHATA,NIMGACHI,1309119347,PRIVATE,Yes
Bogura,Dhunot,119348,BAISHAKHI JUNIOR HIGH SHCOOL,BAISHAKHI,NEW SHARIAKANDI,1712648858,PRIVATE,Yes
Bogura,Dhunot,119349,NATABARI B L HIGH SCHOOL,NATABARI,NATABARI,1714570601,PRIVATE,Yes
