DISTRICT,UPAJILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Nilphamari,Dimla ,134769,SHEIKH FAJILATUNNESA MUJIB JUNIOR GIRLS SCHOOL,DAKHIN TITPARA,DIMLA,1765237194,PRIVATE,No
Nilphamari,Dimla ,134770,DIMLA NIJPARA HIGH SCHOOL,DIMLA,DIMLA,1712420060,PRIVATE,No
Nilphamari,Dimla ,136812,D.K. SOMNITA DANGAPARA JUNIOR SCHOOL,UTTARTITPARA,DIMLA,1718514275,PRIVATE,No
Nilphamari,Dimla ,136813,DILRUBA MAHIKUL SHIKSHA NIKETON JUNIOR SCHOOL,BABURHAT,DIMLA,1719371533,PRIVATE,No
Nilphamari,Dimla ,137347,PASCHIM CHHATNAI GOVT. PRIMARY SCHOOL,THAKURGANJ,DARAJGANJ,1728679140,GOVERNMENT PRIMARY,No
Nilphamari,Dimla ,137721,BAISHPUKUR JUNIOR SECONDARY SCHOOL,BAISHPUKUR,DALIA,1723992674,PRIVATE,No
Nilphamari,Dimla ,138602,DAKSHIN KHARIBARI JUNIOR  SCHOOL,DAKSHIN KHARIBARI,DIMLA,1723774632,PRIVATE,No
Nilphamari,Dimla ,138922,NOBBO BANGLA JUNIOR SCHOOL,PASCHIM KHARIBARI,GAYABARI,1738412066,PRIVATE,No
Nilphamari,Dimla ,139156,DIMLA PUBLIC SCHOOL AND COLLEGE,DAKSHIN TIT PARA,DIMLA,1401105800,PRIVATE,No
Nilphamari,Domar ,124829,CHILAHATI MERCHANTS HIGH SCHOOL,NIJ BHOGDABARI,CHILAHATI,1719006142,PRIVATE,Yes
Nilphamari,Domar ,124830,DOMAR GOVT. GIRLS  HIGH SCHOOL,CHIKON MATHI,DOMAR,1309124830,PUBLIC,No
Nilphamari,Domar ,124831,DOMAR MULTILATERAL HIGH SCHOOL,CHOTO RAUTA,DOMAR,1309124831,PRIVATE,Yes
Nilphamari,Domar ,124832,DOMAR BALIKA BIDDAY NIKETON,CHIKANMATI,DOMAR,1309124832,PRIVATE,Yes
Nilphamari,Domar ,124833,CHAND KHANA G.R HIGH SCHOOL,CHAND KHANA,KAZIR   HAT,1768919649,PRIVATE,Yes
Nilphamari,Domar ,124834,MIRZA GONJ  BL .  HIGH SCHOOL,MIRZA GONJ,MIRZA GONJ,1718418553,PRIVATE,Yes
Nilphamari,Domar ,124835,GOMNATI HIGH SCHOOL,GOMNATI,GOMNATI,1718698154,PRIVATE,Yes
Nilphamari,Domar ,124837,BAMUNIA S .C. HIGH SCHOOL,BAMUNIA,BAMUNIA,1735700919,PRIVATE,Yes
Nilphamari,Domar ,124839,SONARAY BI LATERAL HIGH SCHOOL,SONARAY,DOMAR,1719131535,PRIVATE,No
Nilphamari,Domar ,124840,PANGA MOHESH CHANDRA LALA HIGH SCHOOL,MELA PANGA,MELA PANGA,1717197188,PRIVATE,Yes
Nilphamari,Domar ,124841,UTTAR BHOGDABURI HIGH SCHOOL,PURBA BHOGDABARI,MUKTIR HAT,1309124841,PRIVATE,Yes
Nilphamari,Domar ,124842,MAHIGONJ HIGH SCHOOL,BAGHDOKRA,DOMAR,1309124842,PRIVATE,Yes
Nilphamari,Domar ,124843,CHILAHATI KARENGATALI HIGH SCHOOL,GOSHIGONJ,CHILAHATI,1717015487,PRIVATE,Yes
Nilphamari,Domar ,124845,AMBARY BANGABANDHU HIGH SCHOOL,AMBARY,MIRZA GONJ,1724323815,PRIVATE,Yes
Nilphamari,Domar ,124846,BAKDOKRA  ADARSHA HIGH SCHOOL,NAYANI BAGHDOKRA,MIRZAGONJ,1309124846,PRIVATE,Yes
Nilphamari,Domar ,124848,KHATURIA HIGH SCHOOL,KHATURIA,DOMAR,1309124848,PRIVATE,Yes
Nilphamari,Domar ,124849,SOUTH MATUK PUR HIGH SCHOOL,SOUTH MATUK PUR,BORAGARI,1728647549,PRIVATE,Yes
Nilphamari,Domar ,124850,AMBARI JR GIRLS SCHOOL,,GOMNATI,1721565766,PRIVATE,Yes
