"District","Upazila","Eiin","Name","Address","Post Office","Mobile","Management","Mpo"
"Patuakhali","Kala Para","102338","KHEPUPARA GOVT. MODEL SECONDAY SCHOOL","OFFICE MOHOLLA,236 NACHNAPARA,WORD NO-01","KHEPUPARA","1309102338","PUBLIC","Yes"
"Patuakhali","Kala Para","102339","KHEPUPARA GIRLS SECONDARY SCHOOL","68, ATIMKHANA","KHEPUPARA","1757959300","PRIVATE","Yes"
"Patuakhali","Kala Para","102340","DHANKHALI M.U.SECONDARY SCHOOL","CHALITABUNIA","MACHUAKHALI","1309102340","PRIVATE","Yes"
"Patuakhali","Kala Para","102341","DHULASAR SECONDARY SCHOOL","DHULASAR","DHULASAR","1721060774","PRIVATE","Yes"
"Patuakhali","Kala Para","102342","HAZIPUR SECONDARY SCHOOL","HAZIPUR","HAZIPUR","1714739850","PRIVATE","Yes"
"Patuakhali","Kala Para","102343","TEGACHIA HIGH SCHOOL","TEGACHIA","TEGACHIA","1740860737","PRIVATE","Yes"
"Patuakhali","Kala Para","102344","MOHIPUR CO OPERATIVE HIGH SCHOOL","MOHIPUR","MOHIPUR","1719049361","PRIVATE","Yes"
"Patuakhali","Kala Para","102345","LALUA S.K.J.B SECONDARY SCHOOL","CHANDUPARA","BANATI BAZAR","1711019610","PRIVATE","Yes"
"Patuakhali","Kala Para","102346","DHANKHALI S.H.ASHRAF ACADEMY","PANCHJANIA","DHANKHALI","1731937777","PRIVATE","Yes"
"Patuakhali","Kala Para","102347","PATUA AL AMIN HIGH SCHOOL","PATUA","PATUA HELALI","1748652824","PRIVATE","Yes"
"Patuakhali","Kala Para","102348","PURBO MODHUKHALI SECONDARY SCHOOL","PURBO MODHUKHALI","CHHOTA BALIATALI","1728632865","PRIVATE","Yes"
"Patuakhali","Kala Para","102349","PAKHIMARA PROFULLA BHOWMICK HIGH SCHOOL","PAKHIMARA","PAKHIMARA","1718359658","PRIVATE","Yes"
"Patuakhali","Kala Para","102350","FATEMAHAI SECONDARY SCHOOL","MISRI PARA","NUTAN PARA","1309102350","PRIVATE","Yes"
"Patuakhali","Kala Para","102351","LONDA HAFIZ UDDIN SECONDARY SCHOOL","LONDA","LONDA","1716636854","PRIVATE","Yes"
"Patuakhali","Kala Para","102352","UTTOR LALUA U. C. SECONDARY HIGH SCHOOL","MAJER HAOLA","LALUA","1727582256","PRIVATE","Yes"
"Patuakhali","Kala Para","102353","MUSULLIABAD A.K.HIGH SCHOOL","","KUAKATA","1718649103","PRIVATE","Yes"
"Patuakhali","Kala Para","102354","PANCH JUNIA DHANKHALI SECONDARY SCHOOL","PANCHJUNIA","PANCHJUNIA","1728152184","PRIVATE","Yes"
"Patuakhali","Kala Para","102355","FARID GONJ SECONDARY SCHOOL","FARIDGONJ","FARIDGANJ","1724540283","PRIVATE","Yes"
"Patuakhali","Kala Para","102356","DALBUGONJ HIGH SCHOOL","DALBUGONJ","DALBUGANJ","1309102356","PRIVATE","Yes"
"Patuakhali","Kala Para","102357","NURMOHAMMAD SECONDARY SCHOOL","KATALPARA","CHAULAPARA","1714662707","PRIVATE","Yes"
"Patuakhali","Kala Para","102358","LALUA JANATA SECONDARY SCHOOL","KALAUPARA","BANATIBAZER","1719938674","PRIVATE","Yes"
"Patuakhali","Kala Para","102359","MAIDDAH TAIKHALI A.K.H.M SECONDARY SCHOOL","MAIDDHA TAIKHALI","MAIDDAH TAIKHALI","1721186763","PRIVATE","Yes"
"Patuakhali","Kala Para","102360","CHAKA MAYA BETMOR HIGH SCHOOL","BETMOR","PURBACHAKAMAYA","1719688116","PRIVATE","Yes"
"Patuakhali","Kala Para","102361","UTTER PURBA PATUA SECONDARY SCHOOL","PATUA","PATUA","1703687143","PRIVATE","Yes"
"Patuakhali","Kala Para","102362","CHARCHAPLI ISLAMIA SECONDARY SCHOOL","CHARCHAPLI","NUTAN PARA","1724055263","PRIVATE","Yes"
"Patuakhali","Kala Para","102363","KUAKATA BANGABUNDHU HIGH SCHOOL","KUAKATA","KUAKATA","1714765421","PRIVATE","Yes"
"Patuakhali","Kala Para","102364","SHISHU PALLI ACADAMY","CHHOTA BALIATALI","CHHOTA BALIATALI","1716115377","PRIVATE","Yes"
"Patuakhali","Kala Para","102365","TULATALI HIGH SCHOOL","TULATALI","TULATALI","1726271648","PRIVATE","Yes"
"Patuakhali","Kala Para","102366","MENHAZPUR HAKKANI JUNOIR HIGH SCHOOL","TAHERPUR","DOULATPUR","1309102366","PRIVATE","Yes"
"Patuakhali","Kala Para","102367","DHANKHALI GAZI A MANNAN AND HAFIZA JR. SECONDARY SCHOOL","LONDA","LONDA","1725377305","PRIVATE","Yes"
"Patuakhali","Kala Para","102368","ALL HAJ ABU HANIF KHAN  JUNIOR HIGH SCHOOL","ALIPUR","KUAKATA","1711034980","PRIVATE","Yes"
"Patuakhali","Kala Para","102369","TIAKHALI K.I.ISLAM JUNIOR SECONDARY SCHOOL","UTTAR TIAKHALI","MADHO-TIAKHALI","1309102369","PRIVATE","Yes"
"Patuakhali","Kala Para","131352","HAJI ABDUS SOBHAN SIKDER MODEL ACADEMY","SHANTIRBAG, KALAPARA PAWRASHAVA","KHAPUPARA","1710773040","PRIVATE","Yes"
"Patuakhali","Kala Para","137505","78NO. KHAJURA GOVT. PRIMARY SCHOOL","KHAJURA","KUYAKHATA","1727060191","GOVERNMENT PRIMARY","Yes"
"Patuakhali","Kala Para","139295","NOTUNPARA SECONDARY SCHOOL","à¦¨à¦¤à§à¦¨à¦ªà¦¾à§œà¦¾","NOTUNPARA","1710161788","PRIVATE","No"
