District,Upazila,Eiin,Name,Address,Post Office,Mobile,Management,Mpo
Barisal,Gournadi,100662,NALCHIRA SECONDARY SCHOOL,KANDOPASHA,BASUDEBPARA,1724238516,PRIVATE,Yes
Barisal,Gournadi,100663,PINGLAKATI SECONDARY SCHOOL,GARANGAL BORADI,PINGLAKATI,1713957979,PRIVATE,Yes
Barisal,Gournadi,100664,KANDO PASHA SECONDARY GIRL'S SCHOOL,KANDOPASHA,KANDAPASHA,1716972989,PRIVATE,Yes
Barisal,Gournadi,100666,GOURNADI PILOT GOVT. MODEL HIGH SCHOOL,5225,GOURNADI,1717310835,PUBLIC,Yes
Barisal,Gournadi,100667,BARTHE TARA SECONDARY SCHOOL,BARTHI,BARTHI,1714340871,PRIVATE,Yes
Barisal,Gournadi,100668,CHANDSHI  ISWAR CHANDRA HIGH SCHOOL,CHANDSHI,CHANDSHI,1738137515,PRIVATE,Yes
Barisal,Gournadi,100669,TARKI BONDAR VICTORY SECONDARY SCHOOL,TARKI BONDAR ROAD896,TORKEY BANDAR,1729100558,PRIVATE,Yes
Barisal,Gournadi,100670,CHANDRAHER K.R. SHIKKHAYATAN,CHANDRAHER,CHANDRAHER,1714445969,PRIVATE,Yes
Barisal,Gournadi,100671,MAHILARA A.N. HIGH SCHOOL,MAHILARA,MAHILARA,1730947134,PRIVATE,Yes
Barisal,Gournadi,100672,BATAJORE AK INTITUTION,BATAJORE,BATAJORE,1309100672,PRIVATE,Yes
Barisal,Gournadi,100673,SARIKAL SECONDARY SCHOOL,SARIKAL,SARIKAL,1309100673,PRIVATE,Yes
Barisal,Gournadi,100674,MEDAKUL B.M.S  INSTITUTION,MEDAKUL,MEDAKUL,1726353891,PRIVATE,Yes
Barisal,Gournadi,100675,KHANJAPUR PANGASIA HIGH SCHOOL,KHANJAPUR,KHANZAPUR,1721784240,PRIVATE,Yes
Barisal,Gournadi,100676,PURBA HOSNABAD S.K.M SECONDARY SCHOOL,PURBA HOSNABAD,HOSNABAD,1758080980,PRIVATE,Yes
Barisal,Gournadi,100677,HOSHNABAD HIGH SCHOOL,HOSHNABAD,NIZAMUDDIN COLLEGE,1923855538,PRIVATE,Yes
Barisal,Gournadi,100678,TARKI BANDAR SECONDARY GIRLS SCHOOL,TARKI BANDAR,TARKI BANDAR,1557326066,PRIVATE,Yes
Barisal,Gournadi,100679,MIAR CHAR SECONDARY SCHOOL,MIAR CHAR,HOSNABAD,1749082456,PRIVATE,Yes
Barisal,Gournadi,100680,DHANDOBA SECONDARY SCHOOL,DHANDOBA,DHANDOBA,1719638209,PRIVATE,Yes
Barisal,Gournadi,100681,NATHOI  REZIA SECONDARY  SCHOOL,NATHOI,NATHOI,1739217350,PRIVATE,Yes
Barisal,Gournadi,100682,BAKAI NIRANJAN SECONDARY SCHOOL,BAKAI,BAKAI,1309100682,PRIVATE,Yes
Barisal,Gournadi,100683,BOURGATI HIGH SCHOOL,PASCHIM BOURGATI,KATAKSTHAL,1792215247,PRIVATE,Yes
Barisal,Gournadi,100684,PINGLAKATI JUNIOR GIRLS SCHOOL,PINGLAKATI,PINGLAKATI,1738921183,PRIVATE,Yes
Barisal,Gournadi,100685,BEGUM AKHTERUNESSA SECONDARY SCHOOL,6833,KASEMABAD,1715576296,PRIVATE,Yes
Barisal,Gournadi,100686,HOSNABAD GIRLS HIGH SCHOOL,HOSNABAD,NIZAM UDDIN  COLLAGE,1821357657,PRIVATE,No
Barisal,Gournadi,136799,KUTUBPUR SESDP MODEL HIGH SCHOOL,KUTUBPUR,KANDOPASHA,1739079819,PRIVATE,Yes
Barisal,Gournadi,137482,KALNA GOVT. PRIMARY SCHOOL,KALNA,HAZIPARA,1716610482,GOVERNMENT PRIMARY,No
