District,Upazila,Eiin,Name,Address,Post Office,Mobile,Management,Mpo
Jamalpur,Bokshiganj,137457,SURJONAGOR GOVT. PRIMARY SCHOOL,SURJONAGOR,SURJONAGOR,1716934355,GOVERNMENT PRIMARY,No
Jamalpur,Bokshiganj,136827,HALIMA SURUJ JUNIOR HIGH SCHOOL,PANATIAPARA,PANATIAPARA,1309136827,PRIVATE,No
Jamalpur,Bokshiganj,136722,ENGINEER ANTOR YOUNUS RESENA JUNIOR SCHOOL,POLASHTOLA,PALASHTALA,1915992855,PRIVATE,No
Jamalpur,Bokshiganj,134835,CHANDRABAZ HUSNARA OSMANI  GIRLS HIGH SCHOOL,CHANDRABAZ,CHANDRABAZ,1774890772,PRIVATE,No
Jamalpur,Bokshiganj,134489,MADARER CHOR JUNIOR SCHOOL,MADARER CHOR,JABBARGONJ,1719927727,PRIVATE,No
Jamalpur,Bokshiganj,134324,MAHABUB MAHERUN BIDDA NIKETON,PARISAD ROAD,BAKSHIGOANJ,1737938761,PRIVATE,No
Jamalpur,Bokshiganj,134285,DOLPHIN IDEAL ACADEMY,SIMARPAR,BAKSHIGANJ,1921548010,PRIVATE,No
Jamalpur,Bokshiganj,134266,SHAHID TITUMIR IDEAL ACADEMY,NAMAPARA,BAKSHIGANJ,1712047532,PRIVATE,No
Jamalpur,Bokshiganj,134171,NILAKHIA AL-HAJ ABDUS SALAM JUNIOR GIRLS SCHOOL,NILAKHIA,JOYGANJBAZAR,1712275787,PRIVATE,No
Jamalpur,Bokshiganj,133706,PURBA BANGAL PARA ADARSHA HIGH SCHOOL,BANGAL PARA,KAMALER BARTY,1735818310,PRIVATE,Yes
Jamalpur,Bokshiganj,130845,SHAKER CHAR JUNIOR SCHOOL,SHAKER CHAR,MERURCHAR,1619396524,PRIVATE,No
Jamalpur,Bokshiganj,109705,K.B  MODEL HIGH SCHOOL,KAMALER BARTI,KAMALAR BARTI,1712373157,PRIVATE,Yes
Jamalpur,Bokshiganj,109704,MALIRCHAR ZIGATOLA MAHBUBA ISLAM HIGH SCHOOL,MALIR CHAR,GHOS PARA,1913549651,PRIVATE,Yes
Jamalpur,Bokshiganj,109703,AIRMARY HIGH SCHOOL,AIRMARY,JABBERGONJ,1911944924,PRIVATE,Yes
Jamalpur,Bokshiganj,109702,GOAL GAWN PURBA PARA JOYMONA ESIMODDIN HIGH SCHOOL,GOALGAON,PANATIPARA,1714396551,PRIVATE,Yes
Jamalpur,Bokshiganj,109701,FARAZI PARA JUNIOR SCHOOL,FARAZI PARA,MARUR CHAR,1717817412,PRIVATE,Yes
Jamalpur,Bokshiganj,109700,GHASHIRPARA ROKEYA BEGUM HIGH SCHOOL,GHASIR PARA,GHASHIRPARA,1724828179,PRIVATE,Yes
Jamalpur,Bokshiganj,109697,KHEWARCHAR HIGH SCHOOL,KHEWARCHAR,JABBARGANJ,1713564264,PRIVATE,Yes
Jamalpur,Bokshiganj,109696,HASINA GAZI GIRLS HIGH SCHOOL,BIRGOAN MASDRASA BARI,BIR GAON MADRASHA BARI,1309109696,PRIVATE,Yes
Jamalpur,Bokshiganj,109695,CHARKAURIA KHAMARPARA JUNIOR SCHOOL,CHARKAURIA KHAMAR PARA; 999,TALIAPARA,1947150948,PRIVATE,No
Jamalpur,Bokshiganj,109694,BHATY  KHEWARCHAR  HIGH SCHOOL,BHATY KHEWAR CHAR,RABIARCHAR,1774890033,PRIVATE,Yes
Jamalpur,Bokshiganj,109692,BOGAR CHAR ADARSHA GIRLS HIGH SCHOOL,BOGAR CHAR,BAGAR CHAR,1716883793,PRIVATE,Yes
Jamalpur,Bokshiganj,109691,SHADHUR PARA NAZRUL ISLAM HIGH SCHOOL,SHADHUR PARA,SADHURPARA,1745275331,PRIVATE,Yes
Jamalpur,Bokshiganj,109690,LAWCHAPRA HIGH SCHOOL,LAWCHAPRA,LAWCHAPRA,1309109690,PRIVATE,Yes
