"District","Upazila","Eiin","Name","Address","Post Office","Mobile","Management","Mpo"
"Pirojpur","Indurkani","102958","BARAIKHALI S G S HIGH SCHOOL","BARAIKHALI","KALIBARI HAT","1714572999","PRIVATE","Yes"
"Pirojpur","Indurkani","102959","SETARA SMRITI SECONDARY GIRLS SCHOOL,INDURKANI","INDURKANI","INDURKANI","1717085115","PRIVATE","Yes"
"Pirojpur","Indurkani","102961","BALIPARA UNION SECONDARY SCHOOL","CHAR BALESHWAR","BALIPARA","1728904737","PRIVATE","Yes"
"Pirojpur","Indurkani","102962","INDURKANI M U PILOT SECONDARY SCHOOL","INDURKANI","INDURKANI","1714735570","PRIVATE","Yes"
"Pirojpur","Indurkani","102963","KALARAN CHANDIPUR ADARSHA HIGH SCHOOL","CHANDIPUR","CHANDIPUR","1727463121","PRIVATE","Yes"
"Pirojpur","Indurkani","102964","S. INDURKANI S.S  ADARSHA SECONDARY GIRL'S SCHOOL","DAKSHIN INDURKANI","INDURKANI","1715659934","PRIVATE","Yes"
"Pirojpur","Indurkani","102966","PARERHAT UNITED GIRL'S HIGH SCHOOL","PARERHAT","PARERHAT","1721769227","PRIVATE","Yes"
"Pirojpur","Indurkani","102968","BHABANI PUR HIGH SCHOOL & HILLFUL FUJUL TECH & BM COLLEGE","BHABANIPUR","GHOSHERHAT","1712309010","PRIVATE","Yes"
"Pirojpur","Indurkani","131209","PATTASHI JANAKALYAN SECONDARY SCHOOL & BM COLLEGE","PATTASHI","PATTASHI","1718829931","PRIVATE","Yes"
"Pirojpur","Indurkani","131224","WEST BALIPARA  PILOT HIGH SCHOOL","BALIPARA","BALIPARA","1716821087","PRIVATE","Yes"
"Pirojpur","Indurkani","133695","PANCHAGRAM (P.S.) HIGH SCHOOL","RAMCHANDRA PUR","PATTASHI","1718930023","PRIVATE","Yes"
