District,Upazila,Eiin,Name,Address,Post Office,Mobile,Management,Mpo
Shariatpur,Zajira,113659,AL HAJ MD ISMAIL MEMORIAL  HIGH SCHOOL,KAKRAVOGH,KAJIAR CHAR,1738058499,PRIVATE,Yes
Shariatpur,Zajira,113648,GOVT. JAJIRA MOHAR ALI MODEL HIGH SCHOOL,HORIASA,JAZIRA,1713569437,PUBLIC,Yes
Shariatpur,Zajira,113650,BARA KRISHNA NAGAR PUBLIC HIGH SCHOOL,B.K. NAGAR,BARA KRISHNA NAGAR,1718138025,PRIVATE,Yes
Shariatpur,Zajira,113651,LAUKHOLA A S HIGH SCHOOL,LAUKHOLA,LAUKHOLA,1718913602,PRIVATE,Yes
Shariatpur,Zajira,113652,AMJADIA ACADEMY,NAODOBA,NAODUBA,1309113652,PRIVATE,Yes
Shariatpur,Zajira,113653,KAZIAR CHAR CHAMIR UDDIN HIGH SCHOOL,VANU MALLIKER KANDI,KAJIAR CHAR,1766507277,PRIVATE,Yes
Shariatpur,Zajira,113654,JOYANAGAR ZULMAT ALI HIGH SCHOOL,JOYANAGAR,JOYNAGAR,0.01309113654,PRIVATE,Yes
Shariatpur,Zajira,113655,ABDUL GHANI HIGH SCHOOL,DARI KANDI,DARI KANDI,1718595857,PRIVATE,Yes
Shariatpur,Zajira,113657,PURBA NAWDOBA PUBLIC HIGH SCHOOL,PURBA NAWDOBA,RUP BABUR HAT,1712682681,PRIVATE,Yes
Shariatpur,Zajira,113658,MAHMUDA KHATUN HIGH SCHOOL,JAINAGOR,JOYNAGAR,1728821424,PRIVATE,Yes
Shariatpur,Zajira,139205,JANJIRA CANTONMENT PUBLIC SCHOOL,JANJIRA CANTONMENT,NAODOBA,1769095464,PRIVATE,No
Shariatpur,Zajira,113660,KUNDERCHR ABDUL MANNAN MALLIKER KANDI HIGH SCHOOL,ABDUL MANNAN MALLIKER KANDI,KAZIYER CHAR,1722178707,PRIVATE,Yes
Shariatpur,Zajira,113662,MANIK NAGAR SHEIKH HASINA HIGH SCHOOL,,DUBI SAYBAR,1309113662,PRIVATE,Yes
Shariatpur,Zajira,113663,BARAKANDI MODEL ACADEMY,BARAKANDI,ZAJIRA,1748233272,PRIVATE,Yes
Shariatpur,Zajira,113664,BILASHPUR QUDDUS BEPARY  HIGH SCHOOL,BILASHPUR MULAI BEPARI KANDI,BUDAIR HAT,1717875623,PRIVATE,Yes
Shariatpur,Zajira,134138,CHOKDER MEMORIAL ACADEMY,PASCHIM SENEBCHAR,BHADRASON,1716938344,PRIVATE,Yes
Shariatpur,Zajira,134534,SENER CHAR BM MOJAMMEL HOQUE HIGH SCHOOL,SENERCHAR DAKHIN KANDA,BARO GOPALPUR,1715034183,PRIVATE,Yes
Shariatpur,Zajira,134940,JAJIRA STAPALTAN MASTAR HASAN UDDIN BHUIYAN JUNIOR SCHOOL,CHERAG ALI BEPARI KANDI,BUDHAIR HAT,1720014805,PRIVATE,No
Shariatpur,Zajira,137255,5NO. HOWLADER KANDI GOVT. PRIMARY SCHOOL,HOWLADERKANDI,ZANJIRA,1719523556,GOVERNMENT PRIMARY,No
Shariatpur,Zajira,138945,MIRZA HAZRAT ALI HIGH SCHOOL,NAZUMUDDIN BEPARI KANDI,ZAJIRA,1761781624,PRIVATE,No
