District,Upazila,Eiin,Name,Address,Post Office,Mobile,Management,Mpo
Rangpur,Badargonj,127153,CHAMPATOLI HIGH SCHOOL,TALUK DAMODORPUR,SHEKHERHAT,1715843974,PRIVATE,Yes
Rangpur,Badargonj,127154,GHATABIL SHAHEED SRETI  GIRLS HIGH SCHOOL,GHATABIL,RAHMATPUR MADRASA,1715843811,PRIVATE,Yes
Rangpur,Badargonj,127155,CHOWDHURY  PARA GIRLS HIGH SCHOOL,DOKSHIN BISNUPUR (CHOWDHURY PARA),BISHNUPUR,1728332586,PRIVATE,Yes
Rangpur,Badargonj,127156,BAKSHI GONJ HIGH SCHOOL,BUZRUK BAGBAR,AFTABABAD,1722938236,PRIVATE,Yes
Rangpur,Badargonj,127157,RADHANAGAR B/L HIGH SCHOOL,RADHANAGAR,RADHANAGAR,1719545374,PRIVATE,Yes
Rangpur,Badargonj,127158,SHYAMPUR HIGH SCHOOL,GOPALPUR,SHAYMPUR,1716756968,PRIVATE,Yes
Rangpur,Badargonj,127159,LOHANI PARA HIGH SCHOOL,LOHANI PARA,LOHANIPARA,1721215686,PRIVATE,Yes
Rangpur,Badargonj,127160,NATARAM BL HIGH SCHOOL,NATARAM,NATARAM,1717974640,PRIVATE,Yes
Rangpur,Badargonj,127161,AZAD SHALBARI HIGH SCHOOL,KHIAR PARA,RADHANAGAR,1713735255,PRIVATE,Yes
Rangpur,Badargonj,127162,GOPAL PUR SHEKER HAT HIGH SCHOOL,GOPALPUR,SHEKHERHAT,1721763991,PRIVATE,Yes
Rangpur,Badargonj,127163,BADARGANJ GIRLS HIGH SCHOOL,DAK BANGLA ROAD,BADARGANJ,1716377361,PUBLIC,Yes
Rangpur,Badargonj,127165,BURIR PUKUR HIGH SCHOOL,DANGAPARA,BURIRPUKUR HAT,1747033508,PRIVATE,Yes
Rangpur,Badargonj,127166,GOPINATHPUR HAIDARIA HIGH SCHOOL,9,GOPINATHPUR,1713721227,PRIVATE,Yes
Rangpur,Badargonj,127167,KALUPARA MOHADIPUR HIGH SCHOOL,KALUPARA,LOHANI PARA,1710488756,PRIVATE,Yes
Rangpur,Badargonj,127168,KANCHA BARI HIGH SCHOOL,KANCHABARI,LOHANIPARA,1719104940,PRIVATE,Yes
Rangpur,Badargonj,127169,ASHRAF GANJ  HIGH SCHOOL,"RAMKRISHNAP  TAXERHAT,RAMNATHPUR,BADARGANJ RANGPUR",RAHMATPUR MADRASHA,1714861833,PRIVATE,Yes
Rangpur,Badargonj,127170,LALBARI HIGH SCHOOL,CHOTTOA HAZIPUR,BISHNAPUR,1731241710,PRIVATE,Yes
Rangpur,Badargonj,127171,LALDIGHI W/E B.L HIGH SCHOOL,ARAJI DILAL PUR,LALDIGHI HAT,1710049704,PRIVATE,Yes
Rangpur,Badargonj,127172,HAZIPUR BADIUZZAMAN HIGH SCHOOL,DUANI HAJIPUR,RAHMATPUR,1730990870,PRIVATE,Yes
Rangpur,Badargonj,127173,BAIRAMPUR HIGH SCHOOL,BAIRAMPUR,KALUPARA,1717574091,PRIVATE,Yes
Rangpur,Badargonj,127174,MADHUPUR KAZIR HAT HIGH SCHOOL,MADHUPUR,KAZIRHAT,1736360268,PRIVATE,Yes
Rangpur,Badargonj,127175,PANAR HAT GHIRNAI HIGH SCHOOL,GHIRNAI,MATHER HAT,1719710380,PRIVATE,Yes
Rangpur,Badargonj,127176,PATHAN PARA HIGH SCHOOL,RADHANAGAR PATHANPARA,MONDOLPARA,1710164699,PRIVATE,Yes
Rangpur,Badargonj,127177,BADARGONJ COLLEGIATE HIGH SCHOOL,SANKARPUR,BADARGANJ,1726793174,PRIVATE,Yes
Rangpur,Badargonj,127178,DILALPUR HIGH SCHOOL,DILALPUR,DILALPUR,1744383525,PRIVATE,Yes
Rangpur,Badargonj,127179,SHYAMPUR SUGAR MILLS HIGH SCHOOL,NANDANPUR,SHYAMPUR,1716626461,PRIVATE,Yes
Rangpur,Badargonj,127180,AULIAGANJ HIGH SCHOOL,UTTAR BAUCHANDI,AUILIAGONJ,1737171859,PRIVATE,Yes
Rangpur,Badargonj,127181,RAJARAMPUR HIGH SCHOOL,RAJARAMPUR,KAZIRHAT,1705813202,PRIVATE,Yes
Rangpur,Badargonj,127182,V.I.P.SHAHADAT HOSSAIN HIGH SCHOOL,SHIBPUR,BALACHAWRAHAT,1768834996,PRIVATE,Yes
