"District","Upazila","Eiin","Name","Address","Post Office","Mobile","Management","Mpo"
"Rajshahi","Shah Makhdum","126447","NAWDAPARA GIRLS HIGH SCHOOL","BORO BONGRAM","SAPURA","1727943507","PRIVATE","Yes"
"Rajshahi","Shah Makhdum","126459","HAMIDPUR NAODAPARA HIGH SCHOOL","AIRPORT ROAD, NAODAPARA, RAJSHAHI.","SOPURA","1309126459","PRIVATE","Yes"
"Rajshahi","Shah Makhdum","126462","SHAH MOKHDUM HIGH SCHOOL","NOWDAPARA","SAPURA","1716731902","PRIVATE","Yes"
