DISTRICT,UPAZILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Satkhira,Kaliganj,138695,MUKTIJODHA SHEIKH ATAUR RAHMAN SECONDARY SCHOOL,UTTAR SREEPUR,GOBINDAKATI,1736128522,PRIVATE,No
Satkhira,Satkhira Sadar,118800,SATKHIRA A KARIM GIRLS HIGH SCHOOL,"286,291 ROAD NO 17",SATKHIRA,1711953026,PRIVATE,Yes
Satkhira,Satkhira Sadar,118802,SATKHIRA PALLIMANGAL SECONDARY SCHOOL,SATKHIRA,SATKHIRA,1712451916,PRIVATE,Yes
Satkhira,Satkhira Sadar,118803,LABSHA IMADUL HAQ SECONDARY SCHOOL,LABSHA,LABSA,1727044624,PRIVATE,Yes
Satkhira,Satkhira Sadar,118804,KARIMA SECONDARY SCHOOL,BATKKHALI,SATKHIRA,1714253077,PRIVATE,Yes
Satkhira,Satkhira Sadar,118805,SUNDARBAN TEXTILE MILLS SECONDARY SCHOOL,"MODHOKATEYA, SATKHIRA",SATHKHIRA,1309118805,PRIVATE,Yes
Satkhira,Satkhira Sadar,118806,SATKHIRA TOWN GIRLS HIGH SCHOOL,KATIA,SATKHIRA,1735057512,PRIVATE,Yes
Satkhira,Satkhira Sadar,118808,SATKHIRA GOVT GIRLS HIGH SCHOOL,MONJITPUR,SATKHIRA,1715218227,PUBLIC,No
Satkhira,Satkhira Sadar,118809,NABAROON UCHEHYA BALIKA VIDYALAYA,MUNJITPUR,SATKHIRA,1780774231,PRIVATE,Yes
Satkhira,Satkhira Sadar,118810,JHAWDANGA HIGH SCHOOL,JHAWDANGA,JHAWDANGA,1717126246,PRIVATE,Yes
Satkhira,Satkhira Sadar,118811,RASULPUR SECONDARY SCHOOL, RASULPUR,RASULPUR,1720586285,PRIVATE,Yes
Satkhira,Satkhira Sadar,118812,PALASH POLE ADARSHAYA UCCHYA VIDDALAYA,PALASHPOLE,PALASHPOLE,1720589431,PRIVATE,Yes
Satkhira,Satkhira Sadar,118813,SATKHIRA GOVT HIGH SCHOOL,KATIA,SATKHIRA,1747778180,PUBLIC,No
Satkhira,Satkhira Sadar,118814,BABULIA J. S. SECONDARY SCHOOL,BABULIA,BABULIA,1727055771,PRIVATE,Yes
Satkhira,Satkhira Sadar,118815,TUJALPUR G. C. HIGH SCHOOL,TUZALPUR,BALADANGA,8801720586177,PRIVATE,Yes
Satkhira,Satkhira Sadar,118817,SANKRA KOMOR PUR A G HIGH SCHOOL,PADMA SANKRA,SANKRA KOMORPUR,1776126420,PRIVATE,Yes
Satkhira,Satkhira Sadar,118818,GHONA UNION M.L HIGH SCHOOL,CHANKA,GHONA,1721945740,PRIVATE,Yes
Satkhira,Satkhira Sadar,118820,MAHMUDPUR SECONDARY SCHOL,MAHMUDPUR,BHARUKHALI,1773886495,PRIVATE,Yes
Satkhira,Satkhira Sadar,118821,SHIMUL BARIA SEC0NDRY SCHOOL,SHIMUL BARIA,ELLARCHAR,1727291235,PRIVATE,Yes
Satkhira,Satkhira Sadar,118822,DHULIHAR BRAHMARAJPUR SAMMILITA SECONDARY SCHOOL,BRAHMARAJPUR,BRAHMA RAJPUR,1712073723,PRIVATE,Yes
Satkhira,Satkhira Sadar,118823,BALLI MD. MUJIBUR RAHMAN SECONDARY SCHOOL,BALLI,AKHRAKHOLA,1886434754,PRIVATE,Yes
Satkhira,Satkhira Sadar,118824,B. K. UNION HIGH SCHOOL,SHIKRI,BAIKARI,1748159372,PRIVATE,Yes
