District,Upazila,Eiin,Name,Address,Post Office,Mobile,Management,Mpo
Faridpur,Saltha,108876,FULBARIA HIGH SCHOOL,FULBARIA- SALTHA SOROK,FULBARIAHAT,1712696523,PRIVATE,Yes
Faridpur,Saltha,108857,BIBHAGDI HIGH SCHOOL,BIBHAGDI KANAIPUR MOYENDIA SOROK,NAKULHATI,1721933693,PRIVATE,Yes
Faridpur,Saltha,108858,MITALI BIDDA NEKATAN,"RAMKANTAPUR ,KANAYPUR MAYNDIYA",BAHIRDIA,1717463859,PRIVATE,Yes
Faridpur,Saltha,108864,SARHUKDIA HIGH SCHOOL,SARUKDIA HIGH SCHOOL,GAURDIA,1309108864,PRIVATE,Yes
Faridpur,Saltha,108865,YOUSUFDIA A.A. AND N.U. HIGH SCHOOL,YOUSUFDIA,TUGALDIA,1734734921,PRIVATE,Yes
Faridpur,Saltha,108867,JOY JHAP HIGH SCHOOL,JOYJHAP,SALTHA BAZER,1714666303,PRIVATE,Yes
Faridpur,Saltha,108870,BARA KHARDIA HIGH SCHOOL,BARAKHARDIA,FULBARIA HAT,1713539698,PRIVATE,Yes
Faridpur,Saltha,108874,NARANDIA J.M.HIGH SCHOOL,NARANDIA,MAJHIKANDA,1715869526,PRIVATE,Yes
Faridpur,Saltha,108875,BAUSHKHALI HIGH SCHOOL,BAUSHKHALI,BAUSHKHALI,1309108875,PRIVATE,Yes
Faridpur,Saltha,139236,PROFESSOR MIAN LUTFOR RAHMAN ACADEMY,JADUNANDI BAZAR,JADUNANDI,1727741831,PRIVATE,No
Faridpur,Saltha,108877,GOTTI HIGH SCHOOL,GOTTI,RAHUT PARA,1732224288,PRIVATE,Yes
Faridpur,Saltha,108879,ATGHAR HIGH SCHOOL,"ATGHAR,KANAIPUR,ULKANDA",CHANDPUR,1712729837,PRIVATE,Yes
Faridpur,Saltha,108880,KAGDI MURUTIA ALHAJ M.A.M. HIGH SCHOOL,KAGDI MOYENDIA SOROK,FULBARIA HAT,1715399625,PRIVATE,Yes
Faridpur,Saltha,108884,SALTHA GOVT. MODEL MADHYMIK VIDDALAYA,SALTHA PATPASAR,SALTHA BAZAR,1718272683,PUBLIC,Yes
Faridpur,Saltha,108887,JOGARDIA HIGH SCHOOL,JOGARDIA,FULBARIA HAT,1720080725,PRIVATE,Yes
Faridpur,Saltha,137163,SHINGHOPROTAP GOVT. PRIMARY SCHOOL,SHINGHOPROTAP,GOURDIA,1757994720,GOVERNMENT PRIMARY,No
Faridpur,Saltha,137606,BARALAXMANDIA SESDP MODEL HIGH SCHOOL,BAROLAXMANDIA,TOGALDIA,1309137606,PRIVATE,Yes
