DISTRICT,UPAZILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Sirajganj,Kazipur,128141,UDGARI BOROITALA MULTILATERAL HIGH SCHOOL,UDGARI,UDGARI,1309128141,PRIVATE,Yes
Sirajganj,Kazipur,128142,NISCHINTAPUR UNION HIGH SCHOOL,JAJIRA,NISCHINTAPUR,1309128142,PRIVATE,Yes
Sirajganj,Kazipur,128143,HATSHIRA LAXMIPURA B.L. SCHOOL,HATSHIRA,HATSHIRA,1714547958,PRIVATE,Yes
Sirajganj,Kazipur,128144,SHUBGACHA HIGH SCHOOL,SHUBGACHA,SHUBGACHA,1309128144,PRIVATE,Yes
Sirajganj,Kazipur,128145,KHASSURIBER HIGH SCHOOL,KHASSURIBER,NATUARPARA,1309128145,PRIVATE,Yes
Sirajganj,Kazipur,128146,MAJNA BARI HIGH SCHOOL,Majnabari,Kumariabari,1718103215,PRIVATE,Yes
Sirajganj,Kazipur,128148,DICREE DOROTA HIGH SCHOOL,DICREE DOROTA,NISHCHINTAPUR,1309128148,PRIVATE,Yes
Sirajganj,Kazipur,128149,PARAN PUR HIGH SCHOOL,PARANPUR,HARINATHPUR,1717948362,PRIVATE,Yes
Sirajganj,Kazipur,128151,CHAR BHANU DANGA ISHAMOTI HIGH SCHOOL,CHAR BHANU DANGA,BHANUDANGA,1749240278,PRIVATE,Yes
Sirajganj,Kazipur,128152,BORAITALA  JUNIOR GIRLS  SCHOOL,BORAITALA,BORAITALA BAZAR,1721339171,PRIVATE,No
Sirajganj,Kazipur,128153,REHAI SURIBER GIRLS SCHOOL,REHAI SURIBER,NATUAR PARA,1309128153,PRIVATE,No
Sirajganj,Kazipur,128154,PURB RAHISHUREBER JUNIOR GIRLS SCHOOL,PURBO RAHAISHURIBER,NATUARPARA,1309128154,PRIVATE,No
Sirajganj,Kazipur,128155,KACHIHARA JUNIOR GIRLS SCHOOL,KACHIHARA,KACHIHARA,1730180783,PRIVATE,No
Sirajganj,Kazipur,128156,BERIPOTAL POLASHBARI HIGH SCHOOL,POLASHBARI,KAZIPUR,1716746153,PRIVATE,Yes
Sirajganj,Kazipur,128157,GOAL BATHAN HIGH SCHOOL,GOAL BATHAN ,NISCHINTAPUR,1712480040,PRIVATE,Yes
Sirajganj,Kazipur,128158,RAJNATH PUR JUNIOR GIRLS SCHOOL,RAJANATHPUR,CHAR GIRISH,1728909509,PRIVATE,Yes
